OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
MockIM33_pident=100.0_OTU107,GS,98.9,BOLD:AAH7221.2,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Dicromantispa,Dicromantispa sayi,pomp.4605,38,BOLD:AAH7221
MockIM44_pident=100.0_OTU95,GS,100.0,BOLD:AAG3920.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,NA,pomp.4605,61,BOLD:AAG3920
MockIM46_pident=100.0_OTU64,GS,100.0,BOLD:AAH6828.3,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euphoria,Euphoria fulgida,pomp.4605,159,BOLD:AAH6828
MockIM47_pident=99.4_OTU86,GS,99.4,BOLD:AAG2717.1,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Scudderia,Scudderia curvicauda,pomp.4605,99,BOLD:AAG2717
MockIM52_pident=100.0_OTU84,GS,99.4,BOLD:ABW5589.1,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,NA,NA,pomp.4605,81,BOLD:ABW5589
MockIM53_pident=100.0_OTU74,GS,100.0,BOLD:AAA4507.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea rubigalis,pomp.4605,139,BOLD:AAA4507
OTU60_suspect_mock_chimera,GS,100.0,BOLD:AAA4516.5,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,pomp.4605,804,BOLD:AAA4516
OTU65_suspect_mock_chimera,GS,100.0,BOLD:AAA5695.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche analis,pomp.4605,173,BOLD:AAA5695
OTU156_suspect_mock_chimera,GS,100.0,BOLD:AAA7515.9,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis punctata,pomp.4605,17,BOLD:AAA7515
OTU184_suspect_mock_chimera,GS,100.0,BOLD:AAA6261.2,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Gretchena,Gretchena amatana,pomp.4605,56,BOLD:AAA6261
OTU257_suspect_mock_chimera,GS,100.0,BOLD:AAB7030.14,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus decorus,pomp.4605,10,BOLD:AAB7030
OTU270_suspect_mock_chimera,GS,99.4,BOLD:AAC5871.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,Hentzia palmarum,pomp.4605,40,BOLD:AAC5871
OTU296_suspect_mock_chimera,GS,99.4,BOLD:AAB6239.1,Animalia,Arthropoda,Insecta,Trichoptera,Dipseudopsidae,Phylocentropus,Phylocentropus placidus,pomp.4605,26,BOLD:AAB6239
OTU419_suspect_mock_variant,GS,100.0,BOLD:AAB1787.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,Acyrthosiphon pisum,pomp.4605,86,BOLD:AAB1787
OTU530,GS,100.0,BOLD:AAE2886.1,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Therion,Therion circumflexum,pomp.4605,34,BOLD:AAE2886
OTU576_suspect_mock_chimera,GS,100.0,BOLD:ACE5505.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4605,25,BOLD:ACE5505
OTU649_suspect_mock_chimera,GS,98.9,BOLD:ACL4702.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,NA,pomp.4605,17,BOLD:ACL4702
OTU670_suspect_mock_chimera,GS,100.0,BOLD:AAA2325.2,Animalia,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma togatum,pomp.4605,4,BOLD:AAA2325
OTU686_suspect_mock_chimera,GS,99.4,BOLD:AAI2055.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4605,11,BOLD:AAI2055
OTU780,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4605,61,None
OTU794_suspect_mock_chimera,GS,100.0,BOLD:ACO3393.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Aphidius,NA,pomp.4605,59,BOLD:ACO3393
OTU916,GS,100.0,BOLD:AAA4782.2,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Protapanteles,NA,pomp.4605,4,BOLD:AAA4782
OTU946_suspect_mock_chimera,GS,100.0,BOLD:ABZ1624.1,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Machimia,Machimia tentoriferella,pomp.4605,5,BOLD:ABZ1624
OTU960_suspect_mock_chimera,GS,99.4,BOLD:AAA9420.3,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pelochrista,Pelochrista derelicta,pomp.4605,14,BOLD:AAA9420
OTU1192_suspect_mock_chimera,US,0.9546,BOLD:ACU6892.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4605,12,BOLD:ACU6892
OTU1260_suspect_mock_chimera,GS,100.0,BOLD:AAD2041.2,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Condylostylus,Condylostylus caudatus,pomp.4605,5,BOLD:AAD2041
OTU1370_suspect_mock_chimera,GS,98.9,BOLD:ACN7933.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,NA,pomp.4605,19,BOLD:ACN7933
OTU1559_suspect_mock_chimera,GS,100.0,BOLD:ACF7858.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Paratanytarsus,NA,pomp.4605,11,BOLD:ACF7858
OTU2105,GS,100.0,BOLD:AAA7232.1,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Schizocosa,Schizocosa ocreata,pomp.4605,2,BOLD:AAA7232
OTU6_suspect_mock_variant,GS,100.0,BOLD:AAA2868.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Chytolita,Chytolita morbidalis,pomp.4606,69344,BOLD:AAA2868
OTU14_suspect_mock_chimera,GS,100.0,BOLD:AAH4109.1,Animalia,Arthropoda,Malacostraca,Isopoda,Trachelipodidae,Trachelipus,Trachelipus rathkii,pomp.4606,5421,BOLD:AAH4109
OTU30_suspect_mock_chimera,GS,100.0,BOLD:AAI2051.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4606,1473,BOLD:AAI2051
OTU59,US,1.0000,BOLD:ACF7919.1,Animalia,Arthropoda,Collembola,Poduromorpha,NA,NA,NA,pomp.4606,46,BOLD:ACF7919
OTU76,US,1.0000,None,Animalia,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,NA,pomp.4606,68,None
OTU91,GS,100.0,BOLD:AAA7272.5,Animalia,Arthropoda,Arachnida,Araneae,Dictynidae,Emblyna,Emblyna sublata,pomp.4606,2126,BOLD:AAA7272
OTU108_suspect_mock_chimera,GS,100.0,BOLD:AAA6613.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella cincta,pomp.4606,70,BOLD:AAA6613
OTU113,GS,100.0,BOLD:AAA6611.3,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella cincta,pomp.4606,73,BOLD:AAA6611
OTU135_suspect_mock_chimera,GS,99.4,BOLD:ACY1974.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4606,1805,BOLD:ACY1974
OTU142,GS,100.0,BOLD:AAV6495.1,Animalia,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,Hyloniscus,Hyloniscus riparius,pomp.4606,914,BOLD:AAV6495
OTU256,US,0.3056,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4606,13,None
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4606,19,None
OTU388_suspect_mock_chimera,GS,100.0,BOLD:AAF3101.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Cinara,Cinara watsoni,pomp.4606,9,BOLD:AAF3101
OTU412_suspect_mock_chimera,GS,100.0,BOLD:AAH2774.2,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Agonum,Agonum muelleri,pomp.4606,9,BOLD:AAH2774
OTU423,US,0.0000,BOLD:ACT9373.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4606,8,BOLD:ACT9373
OTU487,US,0.0000,None,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,pomp.4606,37,None
OTU495_suspect_mock_chimera,GS,100.0,BOLD:AAC1312.1,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,Toxomerus geminatus,pomp.4606,17,BOLD:AAC1312
OTU507,US,1.0000,BOLD:ACJ3708.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4606,1,BOLD:ACJ3708
OTU535_suspect_mock_chimera,GS,99.4,BOLD:AAF5163.1,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Sternidius,NA,pomp.4606,9,BOLD:AAF5163
OTU536_suspect_mock_variant,GS,100.0,BOLD:AAB3917.1,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Psilocorsis,Psilocorsis quercicella,pomp.4606,1,BOLD:AAB3917
OTU553,US,1.0000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4606,2,None
OTU640_suspect_mock_chimera,GS,100.0,BOLD:AAA8210.1,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,pomp.4606,7,BOLD:AAA8210
OTU664,US,0.0000,BOLD:ACB3401.1,Animalia,Arthropoda,Insecta,Trichoptera,NA,NA,NA,pomp.4606,5,BOLD:ACB3401
OTU676_suspect_mock_chimera,GS,99.4,BOLD:ADD4326.1,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,NA,NA,pomp.4606,10,BOLD:ADD4326
OTU686_suspect_mock_chimera,GS,99.4,BOLD:AAI2055.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4606,93,BOLD:AAI2055
OTU695_suspect_mock_chimera,GS,99.4,BOLD:AAC1302.2,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Prenolepis,Prenolepis imparis,pomp.4606,62,BOLD:AAC1302
OTU737,US,1.0000,BOLD:AAH0455.3,Animalia,Arthropoda,Insecta,Ephemeroptera,NA,NA,NA,pomp.4606,1,BOLD:AAH0455
OTU838,US,0.9925,BOLD:ABW8929.1,Animalia,Arthropoda,Maxillopoda,Cyclopoida,NA,NA,NA,pomp.4606,5,BOLD:ABW8929
OTU981,US,0.9925,BOLD:ABW5474.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4606,1,BOLD:ABW5474
OTU1013_suspect_mock_chimera,GS,100.0,BOLD:AAA8726.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella villosa,pomp.4606,21,BOLD:AAA8726
OTU1042,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4606,9,None
OTU1208_suspect_mock_variant,GS,97.8,BOLD:AAI4043.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4606,5,BOLD:AAI4043
OTU1260_suspect_mock_chimera,GS,100.0,BOLD:AAD2041.2,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Condylostylus,Condylostylus caudatus,pomp.4606,4,BOLD:AAD2041
OTU1425,US,0.0000,BOLD:AAD5716.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4606,1,BOLD:AAD5716
OTU1432,GS,100.0,BOLD:AAC7234.1,Animalia,Arthropoda,Arachnida,Araneae,Phrurolithidae,Phrurotimpus,Phrurotimpus borealis,pomp.4606,1,BOLD:AAC7234
OTU1463_suspect_mock_variant,GS,100.0,BOLD:AAB7392.1,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Achatia,Achatia distincta,pomp.4606,14,BOLD:AAB7392
OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,pomp.4606,3,None
OTU1662,US,0.9881,BOLD:ACC8556.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4606,1,BOLD:ACC8556
OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4606,4,None
OTU1956,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4606,1,None
OTU1958_suspect_mock_chimera,US,0.0000,BOLD:AAH4103.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4606,1,BOLD:AAH4103
OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4606,2,None
OTU2098,US,0.0000,None,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,pomp.4606,1,None
OTU2106_suspect_mock_chimera,GS,99.4,BOLD:AAE6611.2,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,pomp.4606,2,BOLD:AAE6611
OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,pomp.4606,1,None
MockIM16_pident=100.0_OTU58,GS,100.0,BOLD:AAA0399.6,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,Elophila obliteralis,pomp.4607,63,BOLD:AAA0399
MockIM27_pident=100.0_OTU67,GS,98.9,BOLD:AAL8071.1,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,Cercyon praetextatus,pomp.4607,51,BOLD:AAL8071
MockIM32_pident=100.0_OTU38,GS,99.4,BOLD:AAK9206.1,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Leucrocuta,Leucrocuta maculipennis,pomp.4607,62,BOLD:AAK9206
MockIM52_pident=100.0_OTU84,GS,99.4,BOLD:ABW5589.1,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,NA,NA,pomp.4607,18,BOLD:ABW5589
OTU14_suspect_mock_chimera,GS,100.0,BOLD:AAH4109.1,Animalia,Arthropoda,Malacostraca,Isopoda,Trachelipodidae,Trachelipus,Trachelipus rathkii,pomp.4607,15406,BOLD:AAH4109
OTU17_suspect_mock_chimera,SS,0.8600,BOLD:AAD1986.7,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Xysticus,Xysticus ferox,pomp.4607,33186,BOLD:AAD1986
OTU22_suspect_mock_chimera,GS,100.0,BOLD:AAH4104.1,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Philoscia,Philoscia muscorum,pomp.4607,1249,BOLD:AAH4104
OTU59,US,1.0000,BOLD:ACF7919.1,Animalia,Arthropoda,Collembola,Poduromorpha,NA,NA,NA,pomp.4607,21,BOLD:ACF7919
OTU62,GS,98.9,BOLD:AAV3042.2,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion albidum,pomp.4607,455,BOLD:AAV3042
OTU76,US,1.0000,None,Animalia,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,NA,pomp.4607,1024,None
OTU131_suspect_mock_chimera,GS,100.0,BOLD:AAB2216.1,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neolygus,Neolygus quercalbae,pomp.4607,298,BOLD:AAB2216
OTU135_suspect_mock_chimera,GS,99.4,BOLD:ACY1974.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4607,56,BOLD:ACY1974
OTU138,GS,99.4,BOLD:AAG2878.5,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Gyponana,Gyponana extenda,pomp.4607,365,BOLD:AAG2878
OTU156_suspect_mock_chimera,GS,100.0,BOLD:AAA7515.9,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis punctata,pomp.4607,41,BOLD:AAA7515
OTU193,US,1.0000,None,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4607,11,None
OTU211_suspect_mock_chimera,GS,99.4,BOLD:AAI9247.2,Animalia,Arthropoda,Insecta,Diptera,Pipunculidae,Elmohardyia,Elmohardyia atlantica,pomp.4607,91,BOLD:AAI9247
OTU253,GS,100.0,BOLD:AAG2878.11,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Gyponana,Gyponana extenda,pomp.4607,60,BOLD:AAG2878
OTU254_suspect_mock_chimera,GS,100.0,BOLD:AAG0758.3,Animalia,Arthropoda,Insecta,Coleoptera,Pyrochroidae,Dendroides,Dendroides canadensis,pomp.4607,11,BOLD:AAG0758
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4607,29,None
OTU468_suspect_mock_chimera,GS,100.0,BOLD:AAF4632.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Epiphragma,Epiphragma solatrix,pomp.4607,43,BOLD:AAF4632
OTU507,US,1.0000,BOLD:ACJ3708.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4607,1,BOLD:ACJ3708
OTU553,US,1.0000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4607,13,None
OTU622_suspect_mock_chimera,GS,99.4,BOLD:AAG5647.1,Animalia,Arthropoda,Insecta,Diptera,Rhagionidae,Symphoromyia,Symphoromyia fulvipes,pomp.4607,3,BOLD:AAG5647
OTU646_suspect_mock_chimera,GS,100.0,BOLD:AAI4397.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Antocha,NA,pomp.4607,12,BOLD:AAI4397
OTU676_suspect_mock_chimera,GS,99.4,BOLD:ADD4326.1,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,NA,NA,pomp.4607,27,BOLD:ADD4326
OTU682_suspect_mock_chimera,GS,100.0,BOLD:AAD1986.2,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Xysticus,Xysticus ferox,pomp.4607,960,BOLD:AAD1986
OTU705_suspect_mock_chimera,GS,100.0,BOLD:ABX5888.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula abdominalis,pomp.4607,39,BOLD:ABX5888
OTU732_suspect_mock_chimera,US,0.0000,BOLD:AAH4104.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4607,8,BOLD:AAH4104
OTU742_suspect_mock_chimera,GS,97.6,BOLD:AAH4103.1,Animalia,Arthropoda,Malacostraca,Isopoda,Philosciidae,Philoscia,Philoscia muscorum,pomp.4607,48,BOLD:AAH4103
OTU746,US,0.2887,None,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4607,12,None
OTU766,US,0.2833,BOLD:ACZ5284.8,Animalia,Arthropoda,Diplopoda,Julida,NA,NA,NA,pomp.4607,5,BOLD:ACZ5284
OTU838,US,0.9925,BOLD:ABW8929.1,Animalia,Arthropoda,Maxillopoda,Cyclopoida,NA,NA,NA,pomp.4607,17,BOLD:ABW8929
OTU894_suspect_mock_chimera,GS,100.0,BOLD:AAH7913.1,Animalia,Arthropoda,Insecta,Archaeognatha,Machilidae,Trigoniophthalmus,Trigoniophthalmus alternatus,pomp.4607,44,BOLD:AAH7913
OTU1013_suspect_mock_chimera,GS,100.0,BOLD:AAA8726.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella villosa,pomp.4607,9,BOLD:AAA8726
OTU1042,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4607,10,None
OTU1369,GSL,98.3,BOLD:AAG2878.10,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Gyponana,Gyponana extenda,pomp.4607,20,BOLD:AAG2878
OTU1380_suspect_mock_variant,SS,0.6300,BOLD:AAA1517.2,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,pomp.4607,14,BOLD:AAA1517
OTU1463_suspect_mock_variant,GS,100.0,BOLD:AAB7392.1,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Achatia,Achatia distincta,pomp.4607,1,BOLD:AAB7392
OTU1587,US,0.8000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4607,1,None
OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,pomp.4607,3,None
OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4607,5,None
OTU1825,US,1.0000,None,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4607,3,None
OTU1831,US,0.0000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4607,2,None
OTU1843,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4607,2,None
OTU1930,US,0.2061,BOLD:AAU2282.2,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4607,3,BOLD:AAU2282
OTU1956,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4607,1,None
OTU1958_suspect_mock_chimera,US,0.0000,BOLD:AAH4103.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4607,1,BOLD:AAH4103
OTU2025_suspect_mock_chimera,US,0.0000,BOLD:AAH4103.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4607,3,BOLD:AAH4103
OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4607,3,None
OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,pomp.4607,1,None
MockIM5_pident=100.0_OTU56,GS,100.0,BOLD:AAA8810.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis,Aphis helianthi,pomp.4608,111,BOLD:AAA8810
MockIM7_pident=100.0_OTU93,GS,99.4,BOLD:ADG5234.4,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,Ceraclea maculata,pomp.4608,56,BOLD:ADG5234
MockIM16_pident=100.0_OTU58,GS,100.0,BOLD:AAA0399.6,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Elophila,Elophila obliteralis,pomp.4608,143,BOLD:AAA0399
MockIM27_pident=100.0_OTU67,GS,98.9,BOLD:AAL8071.1,Animalia,Arthropoda,Insecta,Coleoptera,Hydrophilidae,Cercyon,Cercyon praetextatus,pomp.4608,147,BOLD:AAL8071
MockIM28_pident=100.0_OTU47,GS,100.0,BOLD:AAA2435.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hyphantria,Hyphantria cunea,pomp.4608,75,BOLD:AAA2435
MockIM32_pident=100.0_OTU38,GS,99.4,BOLD:AAK9206.1,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Leucrocuta,Leucrocuta maculipennis,pomp.4608,158,BOLD:AAK9206
MockIM33_pident=100.0_OTU107,GS,98.9,BOLD:AAH7221.2,Animalia,Arthropoda,Insecta,Neuroptera,Mantispidae,Dicromantispa,Dicromantispa sayi,pomp.4608,48,BOLD:AAH7221
MockIM42_pident=100.0_OTU50,GS,98.3,BOLD:AAI4346.3,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,Phalangium,Phalangium opilio,pomp.4608,140,BOLD:AAI4346
MockIM46_pident=100.0_OTU64,GS,100.0,BOLD:AAH6828.3,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Euphoria,Euphoria fulgida,pomp.4608,208,BOLD:AAH6828
MockIM52_pident=100.0_OTU84,GS,99.4,BOLD:ABW5589.1,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,NA,NA,pomp.4608,42,BOLD:ABW5589
MockIM53_pident=100.0_OTU74,GS,100.0,BOLD:AAA4507.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Udea,Udea rubigalis,pomp.4608,112,BOLD:AAA4507
OTU26_suspect_mock_chimera,GS,99.4,BOLD:AAI9434.1,Animalia,Arthropoda,Diplopoda,Julida,Julidae,Cylindroiulus,Cylindroiulus punctatus,pomp.4608,16387,BOLD:AAI9434
OTU112,US,0.0000,BOLD:AAE9808.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4608,29,BOLD:AAE9808
OTU113,GS,100.0,BOLD:AAA6611.3,Animalia,Arthropoda,Collembola,Entomobryomorpha,Entomobryidae,Orchesella,Orchesella cincta,pomp.4608,90,BOLD:AAA6611
OTU175,US,0.2833,BOLD:AAY7944.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4608,68,BOLD:AAY7944
OTU177,US,1.0000,BOLD:AAK4381.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4608,20,BOLD:AAK4381
OTU184_suspect_mock_chimera,GS,100.0,BOLD:AAA6261.2,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Gretchena,Gretchena amatana,pomp.4608,16,BOLD:AAA6261
OTU193,US,1.0000,None,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4608,10,None
OTU197,US,0.2833,BOLD:ACU4187.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4608,64,BOLD:ACU4187
OTU262_suspect_mock_chimera,GS,97.8,BOLD:AAI1345.2,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia (Idiopyga) halterella,pomp.4608,34,BOLD:AAI1345
OTU275_suspect_mock_chimera,GS,100.0,BOLD:AAB7869.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Phtheochroa,Phtheochroa riscana,pomp.4608,9,BOLD:AAB7869
OTU301,US,0.0000,None,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4608,12,None
OTU302_suspect_mock_chimera,US,0.6809,BOLD:AAF0031.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,pomp.4608,11,BOLD:AAF0031
OTU334,US,0.0000,BOLD:ACJ9226.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4608,27,BOLD:ACJ9226
OTU338_suspect_mock_chimera,GS,100.0,BOLD:AAP6367.1,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Hemicrepidius,Hemicrepidius brevicollis,pomp.4608,43,BOLD:AAP6367
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4608,9,None
OTU507,US,1.0000,BOLD:ACJ3708.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4608,10,BOLD:ACJ3708
OTU671_suspect_mock_chimera,GS,99.4,BOLD:AAG2647.3,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,Chaoborus,Chaoborus punctipennis,pomp.4608,31,BOLD:AAG2647
OTU685_suspect_mock_chimera,GS,100.0,BOLD:AAB3316.1,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Pyralis,Pyralis farinalis,pomp.4608,3,BOLD:AAB3316
OTU688_suspect_mock_chimera,GS,99.4,BOLD:AAC0360.1,Animalia,Arthropoda,Insecta,Trichoptera,Phryganeidae,Agrypnia,Agrypnia vestita,pomp.4608,23,BOLD:AAC0360
OTU757,US,0.9967,BOLD:ABW8929.1,Animalia,Arthropoda,Maxillopoda,Cyclopoida,NA,NA,NA,pomp.4608,25,BOLD:ABW8929
