OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
OTU369,US,1.0000,BOLD:AAY5839.2,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4584,25,BOLD:AAY5839
OTU406_suspect_mock_variant,GS,100.0,BOLD:AAE0464.1,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Asaphocrita,Asaphocrita aphidiella,pomp.4584,261,BOLD:AAE0464
OTU419_suspect_mock_variant,GS,100.0,BOLD:AAB1787.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Acyrthosiphon,Acyrthosiphon pisum,pomp.4584,65,BOLD:AAB1787
OTU580,US,1.0000,BOLD:AAY5839.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,pomp.4584,18,BOLD:AAY5839
OTU616,US,1.0000,None,Animalia,Arthropoda,Arachnida,Scorpiones,NA,NA,NA,pomp.4584,65,None
OTU696_suspect_mock_chimera,GS,98.9,BOLD:AAF9035.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma alterna,pomp.4584,56,BOLD:AAF9035
OTU856_suspect_mock_chimera,GS,100.0,BOLD:AAV0892.2,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Isomira,Isomira sericea,pomp.4584,30,BOLD:AAV0892
OTU859,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4584,8,None
OTU947_suspect_mock_variant,SS,0.7300,BOLD:ABW9177.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4584,9,BOLD:ABW9177
OTU1041,US,1.0000,BOLD:ABV3226.2,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4584,21,BOLD:ABV3226
OTU1071,US,0.0000,BOLD:AAN4996.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4584,1,BOLD:AAN4996
OTU1128_suspect_mock_variant,GSL,100.0,BOLD:AAB4239.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Macrosiphum,Macrosiphum valerianae,pomp.4584,20,BOLD:AAB4239
OTU65_suspect_mock_chimera,GS,100.0,BOLD:AAA5695.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche analis,pomp.4585,240,BOLD:AAA5695
OTU70_suspect_mock_chimera,GS,100.0,BOLD:AAA2247.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Gluphisia,Gluphisia septentrionis,pomp.4585,3074,BOLD:AAA2247
OTU99_suspect_mock_chimera,GS,100.0,BOLD:ABW0392.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Tabanus,Tabanus nigrovittatus,pomp.4585,434,BOLD:ABW0392
OTU127,GS,100.0,BOLD:AAB2768.2,Animalia,Arthropoda,Arachnida,Araneae,Philodromidae,Philodromus,Philodromus rufus,pomp.4585,40,BOLD:AAB2768
OTU174_suspect_mock_chimera,GS,100.0,BOLD:AAB7737.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Donacaula,Donacaula melinella CS,pomp.4585,990,BOLD:AAB7737
OTU213,GS,100.0,BOLD:AAA1669.3,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche betteni,pomp.4585,28,BOLD:AAA1669
