SampleID	OTUid	TaxMethod	AlignScore	BOLDid	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	CountReads	BOLDalt	DateSampled	BirdSpecies
OahuBird.299	OTU562_suspect_mock_chimera	SS	0.87	BOLD:ABU7332.1	Animalia	Arthropoda	Insecta	Hemiptera	Nabidae	Nabis	NA	153	BOLD:ABU7332	7/16/03	JABW
OahuBird.299	OTU60_suspect_mock_chimera	SS	1	BOLD:AAA0831.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	16860	BOLD:AAA0831	7/16/03	JABW
OahuBird.299	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	2689	BOLD:ACL8650	7/16/03	JABW
OahuBird.299	OTU811_suspect_mock_chimera	GS	100	BOLD:AAA9627.2	Animalia	Arthropoda	Insecta	Ephemeroptera	Caenidae	Caenis	Caenis diminuta	53	BOLD:AAA9627	7/16/03	JABW
OahuBird.299	OTU955_suspect_mock_chimera	SS	1	BOLD:AAA1126.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	53	BOLD:AAA1126	7/16/03	JABW
OahuBird.301	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	81	BOLD:ACQ6990	3/20/03	JAWE
OahuBird.301	OTU195_suspect_mock_chimera	GS	100	BOLD:AAL7322.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	NA	NA	64	BOLD:AAL7322	3/20/03	JAWE
OahuBird.301	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	555	BOLD:ACL8650	3/20/03	JAWE
OahuBird.303	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	112	BOLD:ACQ6990	3/26/03	JAWE
OahuBird.303	OTU209_suspect_mock_chimera	GS	100	BOLD:ACU1373.1	Animalia	Arthropoda	Insecta	Coleoptera	Psephenidae	Ectopria	Ectopria thoracica	57	BOLD:ACU1373	3/26/03	JAWE
OahuBird.303	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	438	BOLD:ACL8650	3/26/03	JAWE
OahuBird.304	OTU859	US	1	BOLD:ABY0541.1	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	61	BOLD:ABY0541	7/16/03	JAWE
OahuBird.304	OTU1034	US	0.9916	BOLD:ACZ0921.1	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	218	BOLD:ACZ0921	7/16/03	JAWE
OahuBird.304	OTU162_suspect_mock_chimera	GS	97.2	BOLD:ACY7262.1	Animalia	Arthropoda	Insecta	Lepidoptera	Carposinidae	Carposina	Carposina paracrinifera	363	BOLD:ACY7262	7/16/03	JAWE
