OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,SampleID,BOLDalt
OTU100_suspect_mock_chimera,SS,1.0000,BOLD:AAE7638.6,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,20351,OahuBird.105,BOLD:AAE7638
OTU207_suspect_mock_chimera,GS,98.9,BOLD:ACH6516.2,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,77,OahuBird.112,BOLD:ACH6516
OTU338_suspect_mock_chimera,GS,99.4,BOLD:ACP6340.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,2185,OahuBird.112,BOLD:ACP6340
OTU2829_suspect_mock_chimera,SS,0.9900,BOLD:AAU4413.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,714,OahuBird.120,BOLD:AAU4413
OTU301_suspect_mock_chimera,GS,99.4,BOLD:ACO4426.1,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,81,OahuBird.120,BOLD:ACO4426
OTU352_suspect_mock_chimera,SS,0.9800,BOLD:AAD3371.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,13080,OahuBird.120,BOLD:AAD3371
OTU433_suspect_mock_variant,GS,97.8,BOLD:AAA7564.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Herpetogramma,NA,1320,OahuBird.120,BOLD:AAA7564
OTU84_suspect_mock_chimera,GS,97.2,BOLD:AAU4413.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Tauroscopa,Tauroscopa lachnaea,506,OahuBird.120,BOLD:AAU4413
OTU165_suspect_mock_chimera,SS,1.0000,BOLD:AAO4224.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,112,OahuBird.121,BOLD:AAO4224
OTU1_suspect_mock_chimera,GS,100.0,BOLD:AAC2499.1,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila suzukii,15150,OahuBird.121,BOLD:AAC2499
OTU221_suspect_mock_chimera,GS,97.2,BOLD:AAN0877.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,794,OahuBird.121,BOLD:AAN0877
OTU357_suspect_mock_chimera,GS,100.0,BOLD:AAI9477.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,62,OahuBird.121,BOLD:AAI9477
OTU43_suspect_mock_chimera,SS,1.0000,BOLD:ABY5163.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,1212,OahuBird.121,BOLD:ABY5163
OTU369_suspect_mock_chimera,US,0.9715,BOLD:ACU2424.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,83,OahuBird.122,BOLD:ACU2424
OTU545_suspect_mock_chimera,GS,100.0,BOLD:ACG2172.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Amorbia,Amorbia synneurana,80,OahuBird.125,BOLD:ACG2172
OTU555_suspect_mock_chimera,US,0.9963,BOLD:ACC1128.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,769,OahuBird.125,BOLD:ACC1128
OTU934_suspect_mock_chimera,SS,1.0000,BOLD:ACN4425.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,263,OahuBird.125,BOLD:ACN4425
OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,136,NTC_OahuBird.136,BOLD:ACP3810
OTU221_suspect_mock_chimera,GS,97.2,BOLD:AAN0877.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,163,NTC_OahuBird.136,BOLD:AAN0877
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,805,NTC_OahuBird.136,BOLD:ACO5149
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,3169,NTC_OahuBird.136,BOLD:AAO4373
OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,3212,NTC_OahuBird.136,BOLD:AAN0893
OTU1105_suspect_mock_chimera,SS,0.9000,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,61,OahuBird.143,BOLD:AAO4373
OTU1242_suspect_mock_chimera,SS,0.9900,BOLD:ACN4790.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,122,OahuBird.143,BOLD:ACN4790
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,14012,OahuBird.143,BOLD:AAO4373
OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,80,OahuBird.143,BOLD:AAO4373
OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,2718,OahuBird.144,BOLD:ACO9170
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,688,OahuBird.144,BOLD:ACO5149
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,3979,OahuBird.144,BOLD:AAO4373
OTU51_suspect_mock_chimera,GS,100.0,BOLD:ABW5637.1,Animalia,Arthropoda,Arachnida,Trombidiformes,Anystidae,NA,NA,860,OahuBird.144,BOLD:ABW5637
OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,429,OahuBird.144,BOLD:AAV3043
OTU51_suspect_mock_chimera,GS,100.0,BOLD:ABW5637.1,Animalia,Arthropoda,Arachnida,Trombidiformes,Anystidae,NA,NA,23639,OahuBird.145,BOLD:ABW5637
OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,1121,OahuBird.145,BOLD:AAN0893
OTU577_suspect_mock_chimera,US,0.9715,BOLD:AAH6549.3,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,234,OahuBird.145,BOLD:AAH6549
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,16084,OahuBird.146,BOLD:AAO4373
OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,349,OahuBird.146,BOLD:AAO4373
OTU51_suspect_mock_chimera,GS,100.0,BOLD:ABW5637.1,Animalia,Arthropoda,Arachnida,Trombidiformes,Anystidae,NA,NA,432,OahuBird.146,BOLD:ABW5637
OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,24070,OahuBird.146,BOLD:AAN0893
OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,739,OahuBird.147,BOLD:ACP3810
OTU2249_suspect_mock_chimera,US,0.9860,BOLD:AAO1205.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,55,OahuBird.147,BOLD:AAO1205
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,2973,OahuBird.147,BOLD:ACO5149
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,10771,OahuBird.147,BOLD:AAO4373
OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,18451,OahuBird.147,BOLD:AAN0893
OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,2307,OahuBird.148,BOLD:ACO9170
OTU221_suspect_mock_chimera,GS,97.2,BOLD:AAN0877.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,4678,OahuBird.148,BOLD:AAN0877
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,1193,OahuBird.148,BOLD:ACO5149
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,30543,OahuBird.148,BOLD:AAO4373
OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,57,OahuBird.148,BOLD:AAO4373
OTU91_suspect_mock_chimera,GSL,97.2,BOLD:AAA7002.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,NA,NA,4477,OahuBird.148,BOLD:AAA7002
OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,30553,OahuBird.150,BOLD:ACO9170
OTU91_suspect_mock_chimera,GSL,97.2,BOLD:AAA7002.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,NA,NA,4277,OahuBird.150,BOLD:AAA7002
OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,5136,OahuBird.151,BOLD:ACO9170
OTU1213_suspect_mock_chimera,US,0.9715,BOLD:AAV9109.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,132,OahuBird.151,BOLD:AAV9109
OTU1421_suspect_mock_chimera,US,0.9715,BOLD:AAB1279.2,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,89,OahuBird.151,BOLD:AAB1279
OTU1680_suspect_mock_chimera,SS,1.0000,BOLD:AAU7531.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,55,OahuBird.151,BOLD:AAU7531
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,9986,OahuBird.151,BOLD:ACO5149
OTU356_suspect_mock_chimera,SS,1.0000,BOLD:AAH6099.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,1836,OahuBird.151,BOLD:AAH6099
OTU685_suspect_mock_chimera,SS,1.0000,BOLD:AAK3567.3,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,511,OahuBird.151,BOLD:AAK3567
OTU91_suspect_mock_chimera,GSL,97.2,BOLD:AAA7002.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,NA,NA,6030,OahuBird.151,BOLD:AAA7002
OTU214_suspect_mock_chimera,SS,0.9800,BOLD:AAI3028.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,394,OahuBird.152,BOLD:AAI3028
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,8584,OahuBird.152,BOLD:AAO4373
OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,17784,OahuBird.152,BOLD:AAV3043
OTU64_suspect_mock_chimera,SS,0.9800,BOLD:AAE0951.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,25162,OahuBird.152,BOLD:AAE0951
OTU214_suspect_mock_chimera,SS,0.9800,BOLD:AAI3028.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,436,OahuBird.153,BOLD:AAI3028
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,644,OahuBird.153,BOLD:ACO5149
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,4257,OahuBird.153,BOLD:AAO4373
OTU46_suspect_mock_chimera,SS,0.9900,BOLD:AAK9644.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,1206,OahuBird.153,BOLD:AAK9644
OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,38930,OahuBird.154,BOLD:ACO9170
OTU119_suspect_mock_chimera,US,0.9885,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,172,OahuBird.154,BOLD:ABX3434
OTU1362_suspect_mock_chimera,US,0.9963,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,54,OahuBird.154,BOLD:ABX3434
OTU15_suspect_mock_chimera,US,0.9967,BOLD:ACP5902.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,6530,OahuBird.154,BOLD:ACP5902
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,2781,OahuBird.154,BOLD:AAO4373
OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,874,OahuBird.154,BOLD:AAV3043
OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,943,OahuBird.154,BOLD:AAN0893
OTU64_suspect_mock_chimera,SS,0.9800,BOLD:AAE0951.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,2304,OahuBird.154,BOLD:AAE0951
OTU219,SS,1.0000,BOLD:AAV1596.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,375,OahuBird.155,BOLD:AAV1596
OTU1362_suspect_mock_chimera,US,0.9963,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,149,OahuBird.155,BOLD:ABX3434
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,8563,OahuBird.155,BOLD:ACO5149
OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,13593,OahuBird.155,BOLD:AAO4373
OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,105,OahuBird.155,BOLD:AAO4373
OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,158,OahuBird.156,BOLD:ACP3810
OTU1139_suspect_mock_chimera,GS,100.0,BOLD:AAY6680.2,Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus californicus,55,OahuBird.156,BOLD:AAY6680
OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,5299,OahuBird.156,BOLD:ACO5149
