,BOLDalt,n,TotalCounts
182,BOLD:AAG2497,1,54
183,BOLD:AAG2645,38,4789
184,BOLD:AAG2647,11,1062
185,BOLD:AAG2878,9,646
186,BOLD:AAG4430,1,55
187,BOLD:AAG4746,1,117
188,BOLD:AAG4943,14,1959
189,BOLD:AAG5457,21,2863
190,BOLD:AAG5465,13,1106
191,BOLD:AAG6500,1,116
192,BOLD:AAG6832,1,53
193,BOLD:AAG7012,2,200
194,BOLD:AAG7013,4,309
195,BOLD:AAG7627,6,741
196,BOLD:AAG8670,23,7749
197,BOLD:AAG8977,10,1479
198,BOLD:AAG9617,4,277
199,BOLD:AAG9765,11,831
200,BOLD:AAG9923,9,830
201,BOLD:AAH0136,104,20777
202,BOLD:AAH0144,19,1656
203,BOLD:AAH0147,1,66
204,BOLD:AAH0369,6,478
205,BOLD:AAH0376,1,146
206,BOLD:AAH0434,4,242
207,BOLD:AAH0473,1,127
208,BOLD:AAH2334,5,377
209,BOLD:AAH2373,96,39511
210,BOLD:AAH2428,11,865
211,BOLD:AAH2433,49,10765
212,BOLD:AAH2752,2,133
213,BOLD:AAH2908,17,2315
214,BOLD:AAH3225,20,1921
215,BOLD:AAH3593,173,65875
216,BOLD:AAH4109,12,95106
217,BOLD:AAH4351,6,897
218,BOLD:AAH4593,11,787
219,BOLD:AAH4942,3,173
220,BOLD:AAH4943,9,1125
221,BOLD:AAH5510,21,3370
222,BOLD:AAH6854,1,60
223,BOLD:AAH8412,1,60
224,BOLD:AAI1345,80,30034
225,BOLD:AAI1351,12,1240
226,BOLD:AAI2765,10,731
227,BOLD:AAI2836,6,409
228,BOLD:AAI3614,39,6356
229,BOLD:AAI4173,48,6560
230,BOLD:AAI4397,30,5543
231,BOLD:AAI6345,16,3501
232,BOLD:AAI7427,6,675
233,BOLD:AAI8787,3,701
234,BOLD:AAI9560,15,1919
235,BOLD:AAJ1916,1,55
236,BOLD:AAJ2208,6,777
237,BOLD:AAJ2417,6,629
238,BOLD:AAJ2791,3,211
239,BOLD:AAJ4275,5,750
240,BOLD:AAJ5027,1,213
241,BOLD:AAK0583,7,571
