,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,SampleID,BOLDalt
16,OTU555_suspect_mock_chimera,US,0.9963,BOLD:ACC1128.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,769,OahuBird.125,BOLD:ACC1128
17,OTU934_suspect_mock_chimera,SS,1.0000,BOLD:ACN4425.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,263,OahuBird.125,BOLD:ACN4425
18,OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,136,NTC_OahuBird.136,BOLD:ACP3810
19,OTU221_suspect_mock_chimera,GS,97.2,BOLD:AAN0877.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,163,NTC_OahuBird.136,BOLD:AAN0877
20,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,805,NTC_OahuBird.136,BOLD:ACO5149
21,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,3169,NTC_OahuBird.136,BOLD:AAO4373
22,OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,3212,NTC_OahuBird.136,BOLD:AAN0893
23,OTU1105_suspect_mock_chimera,SS,0.9000,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,61,OahuBird.143,BOLD:AAO4373
24,OTU1242_suspect_mock_chimera,SS,0.9900,BOLD:ACN4790.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,122,OahuBird.143,BOLD:ACN4790
25,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,14012,OahuBird.143,BOLD:AAO4373
26,OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,80,OahuBird.143,BOLD:AAO4373
27,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,2718,OahuBird.144,BOLD:ACO9170
28,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,688,OahuBird.144,BOLD:ACO5149
29,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,3979,OahuBird.144,BOLD:AAO4373
30,OTU51_suspect_mock_chimera,GS,100.0,BOLD:ABW5637.1,Animalia,Arthropoda,Arachnida,Trombidiformes,Anystidae,NA,NA,860,OahuBird.144,BOLD:ABW5637
31,OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,429,OahuBird.144,BOLD:AAV3043
32,OTU51_suspect_mock_chimera,GS,100.0,BOLD:ABW5637.1,Animalia,Arthropoda,Arachnida,Trombidiformes,Anystidae,NA,NA,23639,OahuBird.145,BOLD:ABW5637
33,OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,1121,OahuBird.145,BOLD:AAN0893
34,OTU577_suspect_mock_chimera,US,0.9715,BOLD:AAH6549.3,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,234,OahuBird.145,BOLD:AAH6549
35,OTU9_suspect_mock_chimera,GS,100.0,BOLD:AAF3101.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Cinara,Cinara watsoni,7035,OahuBird.145,BOLD:AAF3101
36,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,16084,OahuBird.146,BOLD:AAO4373
37,OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,349,OahuBird.146,BOLD:AAO4373
38,OTU51_suspect_mock_chimera,GS,100.0,BOLD:ABW5637.1,Animalia,Arthropoda,Arachnida,Trombidiformes,Anystidae,NA,NA,432,OahuBird.146,BOLD:ABW5637
39,OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,24070,OahuBird.146,BOLD:AAN0893
40,OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,739,OahuBird.147,BOLD:ACP3810
41,OTU2249_suspect_mock_chimera,US,0.9860,BOLD:AAO1205.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,55,OahuBird.147,BOLD:AAO1205
42,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,2973,OahuBird.147,BOLD:ACO5149
43,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,10771,OahuBird.147,BOLD:AAO4373
44,OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,18451,OahuBird.147,BOLD:AAN0893
45,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,2307,OahuBird.148,BOLD:ACO9170
46,OTU221_suspect_mock_chimera,GS,97.2,BOLD:AAN0877.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,4678,OahuBird.148,BOLD:AAN0877
47,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,1193,OahuBird.148,BOLD:ACO5149
48,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,30543,OahuBird.148,BOLD:AAO4373
49,OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,57,OahuBird.148,BOLD:AAO4373
50,OTU91_suspect_mock_chimera,GSL,97.2,BOLD:AAA7002.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,NA,NA,4477,OahuBird.148,BOLD:AAA7002
51,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,30553,OahuBird.150,BOLD:ACO9170
52,OTU91_suspect_mock_chimera,GSL,97.2,BOLD:AAA7002.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,NA,NA,4277,OahuBird.150,BOLD:AAA7002
53,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,5136,OahuBird.151,BOLD:ACO9170
54,OTU1213_suspect_mock_chimera,US,0.9715,BOLD:AAV9109.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,132,OahuBird.151,BOLD:AAV9109
55,OTU1421_suspect_mock_chimera,US,0.9715,BOLD:AAB1279.2,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,89,OahuBird.151,BOLD:AAB1279
56,OTU1680_suspect_mock_chimera,SS,1.0000,BOLD:AAU7531.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,55,OahuBird.151,BOLD:AAU7531
57,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,9986,OahuBird.151,BOLD:ACO5149
58,OTU356_suspect_mock_chimera,SS,1.0000,BOLD:AAH6099.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,1836,OahuBird.151,BOLD:AAH6099
59,OTU685_suspect_mock_chimera,SS,1.0000,BOLD:AAK3567.3,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,511,OahuBird.151,BOLD:AAK3567
60,OTU91_suspect_mock_chimera,GSL,97.2,BOLD:AAA7002.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,NA,NA,6030,OahuBird.151,BOLD:AAA7002
61,OTU214_suspect_mock_chimera,SS,0.9800,BOLD:AAI3028.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,394,OahuBird.152,BOLD:AAI3028
62,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,8584,OahuBird.152,BOLD:AAO4373
63,OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,17784,OahuBird.152,BOLD:AAV3043
64,OTU64_suspect_mock_chimera,SS,0.9800,BOLD:AAE0951.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,25162,OahuBird.152,BOLD:AAE0951
65,OTU214_suspect_mock_chimera,SS,0.9800,BOLD:AAI3028.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,436,OahuBird.153,BOLD:AAI3028
66,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,644,OahuBird.153,BOLD:ACO5149
67,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,4257,OahuBird.153,BOLD:AAO4373
68,OTU46_suspect_mock_chimera,SS,0.9900,BOLD:AAK9644.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,1206,OahuBird.153,BOLD:AAK9644
69,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,38930,OahuBird.154,BOLD:ACO9170
70,OTU119_suspect_mock_chimera,US,0.9885,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,172,OahuBird.154,BOLD:ABX3434
71,OTU1362_suspect_mock_chimera,US,0.9963,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,54,OahuBird.154,BOLD:ABX3434
72,OTU14_suspect_mock_chimera,US,0.9844,BOLD:ABA5862.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,9297,OahuBird.154,BOLD:ABA5862
73,OTU15_suspect_mock_chimera,US,0.9967,BOLD:ACP5902.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,6530,OahuBird.154,BOLD:ACP5902
74,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,2781,OahuBird.154,BOLD:AAO4373
75,OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,874,OahuBird.154,BOLD:AAV3043
76,OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,943,OahuBird.154,BOLD:AAN0893
77,OTU64_suspect_mock_chimera,SS,0.9800,BOLD:AAE0951.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,2304,OahuBird.154,BOLD:AAE0951
78,OTU219,SS,1.0000,BOLD:AAV1596.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,375,OahuBird.155,BOLD:AAV1596
79,OTU1362_suspect_mock_chimera,US,0.9963,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,149,OahuBird.155,BOLD:ABX3434
80,OTU14_suspect_mock_chimera,US,0.9844,BOLD:ABA5862.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,9480,OahuBird.155,BOLD:ABA5862
81,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,8563,OahuBird.155,BOLD:ACO5149
82,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,13593,OahuBird.155,BOLD:AAO4373
83,OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,105,OahuBird.155,BOLD:AAO4373
84,OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,158,OahuBird.156,BOLD:ACP3810
85,OTU1139_suspect_mock_chimera,GS,100.0,BOLD:AAY6680.2,Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,Ectopsocus californicus,55,OahuBird.156,BOLD:AAY6680
86,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,5299,OahuBird.156,BOLD:ACO5149
87,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,6252,OahuBird.156,BOLD:AAO4373
88,OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,65,OahuBird.156,BOLD:AAO4373
89,OTU219,SS,1.0000,BOLD:AAV1596.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,1121,OahuBird.157,BOLD:AAV1596
90,OTU1039,SS,0.9100,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,51,OahuBird.157,BOLD:AAO4373
91,OTU101_suspect_mock_chimera,GS,100.0,BOLD:ABA9972.1,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,NA,NA,734,OahuBird.157,BOLD:ABA9972
92,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,38193,OahuBird.157,BOLD:ACO9170
93,OTU119_suspect_mock_chimera,US,0.9885,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,175,OahuBird.157,BOLD:ABX3434
94,OTU1362_suspect_mock_chimera,US,0.9963,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,57,OahuBird.157,BOLD:ABX3434
95,OTU1367_suspect_mock_chimera,US,0.9546,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,58,OahuBird.157,BOLD:AAO4373
96,OTU1379_suspect_mock_chimera,US,0.9885,BOLD:ABZ8456.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,89,OahuBird.157,BOLD:ABZ8456
97,OTU14_suspect_mock_chimera,US,0.9844,BOLD:ABA5862.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,15039,OahuBird.157,BOLD:ABA5862
98,OTU15_suspect_mock_chimera,US,0.9967,BOLD:ACP5902.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,15894,OahuBird.157,BOLD:ACP5902
99,OTU2249_suspect_mock_chimera,US,0.9860,BOLD:AAO1205.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,208,OahuBird.157,BOLD:AAO1205
100,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,10202,OahuBird.157,BOLD:ACO5149
101,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,34056,OahuBird.157,BOLD:AAO4373
102,OTU3039_suspect_mock_chimera,US,0.9934,BOLD:ACN1426.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,62,OahuBird.157,BOLD:ACN1426
103,OTU305_suspect_mock_chimera,GS,100.0,BOLD:ACK1289.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,374,OahuBird.157,BOLD:ACK1289
104,OTU390_suspect_mock_chimera,GS,97.2,BOLD:AAI3758.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,66,OahuBird.157,BOLD:AAI3758
105,OTU430_suspect_mock_chimera,US,0.9844,BOLD:ACO8618.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,52,OahuBird.157,BOLD:ACO8618
106,OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,187,OahuBird.157,BOLD:AAO4373
107,OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,5391,OahuBird.157,BOLD:AAV3043
108,OTU546_suspect_mock_chimera,US,0.9803,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,74,OahuBird.157,BOLD:AAO4373
109,OTU64_suspect_mock_chimera,SS,0.9800,BOLD:AAE0951.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,17521,OahuBird.157,BOLD:AAE0951
110,OTU709_suspect_mock_chimera,GSL,97.2,BOLD:AAX4743.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,390,OahuBird.157,BOLD:AAX4743
111,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,969,OahuBird.158,BOLD:ACO5149
112,OTU46_suspect_mock_chimera,SS,0.9900,BOLD:AAK9644.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,23980,OahuBird.158,BOLD:AAK9644
113,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,7813,OahuBird.159,BOLD:ACO9170
114,OTU1312_suspect_mock_chimera,US,0.9859,BOLD:ACF6700.1,Animalia,Arthropoda,Insecta,Psocodea,NA,NA,NA,99,OahuBird.159,BOLD:ACF6700
115,OTU15_suspect_mock_chimera,US,0.9967,BOLD:ACP5902.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,5834,OahuBird.159,BOLD:ACP5902
116,OTU184_suspect_mock_chimera,SS,1.0000,BOLD:AAB6409.3,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,7400,OahuBird.159,BOLD:AAB6409
117,OTU190_suspect_mock_chimera,SS,1.0000,BOLD:AAU3262.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,148,OahuBird.159,BOLD:AAU3262
118,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,22567,OahuBird.159,BOLD:ACO5149
119,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,3138,OahuBird.159,BOLD:AAO4373
120,OTU302_suspect_mock_chimera,GS,100.0,BOLD:AAC3755.4,Animalia,Arthropoda,Malacostraca,Isopoda,Porcellionidae,Porcellio,Porcellio scaber,152,OahuBird.159,BOLD:AAC3755
121,OTU390_suspect_mock_chimera,GS,97.2,BOLD:AAI3758.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,111,OahuBird.159,BOLD:AAI3758
122,OTU56_suspect_mock_chimera,US,0.9860,BOLD:ACS9425.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,3115,OahuBird.159,BOLD:ACS9425
123,OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,820,OahuBird.160,BOLD:ACP3810
124,OTU850,SS,0.9600,BOLD:AAH3869.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,79,OahuBird.160,BOLD:AAH3869
125,OTU119_suspect_mock_chimera,US,0.9885,BOLD:ABX3434.2,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,67,OahuBird.160,BOLD:ABX3434
126,OTU184_suspect_mock_chimera,SS,1.0000,BOLD:AAB6409.3,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,126,OahuBird.160,BOLD:AAB6409
127,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,1617,OahuBird.160,BOLD:ACO5149
128,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,4843,OahuBird.160,BOLD:AAO4373
129,OTU305_suspect_mock_chimera,GS,100.0,BOLD:ACK1289.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,154,OahuBird.160,BOLD:ACK1289
130,OTU313_suspect_mock_chimera,SS,1.0000,BOLD:ACF5303.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,113,OahuBird.160,BOLD:ACF5303
131,OTU503_suspect_mock_chimera,US,0.9715,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,90,OahuBird.160,BOLD:AAO4373
132,OTU51_suspect_mock_chimera,GS,100.0,BOLD:ABW5637.1,Animalia,Arthropoda,Arachnida,Trombidiformes,Anystidae,NA,NA,554,OahuBird.160,BOLD:ABW5637
133,OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,10748,OahuBird.160,BOLD:AAV3043
134,OTU546_suspect_mock_chimera,US,0.9803,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,175,OahuBird.160,BOLD:AAO4373
135,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,5692,OahuBird.161,BOLD:ACO5149
136,OTU69_suspect_mock_variant,GS,99.4,BOLD:ABZ7368.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,16208,OahuBird.161,BOLD:ABZ7368
137,OTU10_suspect_mock_chimera,US,0.9934,BOLD:ACO9170.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,2245,OahuBird.163,BOLD:ACO9170
138,OTU29_suspect_mock_chimera,SS,1.0000,BOLD:ACO5149.1,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,455,OahuBird.163,BOLD:ACO5149
139,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,2085,OahuBird.163,BOLD:AAO4373
140,OTU54_suspect_mock_chimera,GS,97.6,BOLD:AAN0893.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Grammodes,Grammodes bifasciata,15172,OahuBird.163,BOLD:AAN0893
141,OTU1367_suspect_mock_chimera,US,0.9546,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,94,OahuBird.164,BOLD:AAO4373
142,OTU214_suspect_mock_chimera,SS,0.9800,BOLD:AAI3028.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,11080,OahuBird.164,BOLD:AAI3028
143,OTU2_suspect_mock_chimera,US,0.9249,BOLD:AAO4373.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,1391,OahuBird.164,BOLD:AAO4373
144,OTU46_suspect_mock_chimera,SS,0.9900,BOLD:AAK9644.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,18914,OahuBird.164,BOLD:AAK9644
145,OTU53_suspect_mock_chimera,US,0.9546,BOLD:AAV3043.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,7017,OahuBird.164,BOLD:AAV3043
146,OTU841_suspect_mock_chimera,GS,99.4,BOLD:AAY6797.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Meteorus,Meteorus ictericus,154,OahuBird.164,BOLD:AAY6797
147,OTU91_suspect_mock_chimera,GSL,97.2,BOLD:AAA7002.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,NA,NA,2936,OahuBird.164,BOLD:AAA7002
148,OTU130,SS,0.9900,BOLD:ACP3810.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,4181,OahuBird.165,BOLD:ACP3810
