OTUid,BOLDid,NTCreads,NTChits,ALLreads,ALLhits,TRUEhits,TRUEreads,NTChitFrac,NTCreadFrac
OTU34,BOLD:AAM6211,1210,2,95944,75,73,94734,0.0266666666666667,0.0126115233886434
OTU345,BOLD:ACE7334,173,1,2098,12,11,1925,0.0833333333333333,0.0824594852240229
OTU35,BOLD:ABW4215,4085,1,78781,48,47,74696,0.0208333333333333,0.051852604054277
OTU4,BOLD:AAN5882,11869,3,460953,89,86,449084,0.0337078651685393,0.0257488290563246
OTU40,BOLD:AAC3947,17101,1,33155,4,3,16054,0.25,0.515789473684211
OTU403,BOLD:ABY0555,918,1,990,2,1,72,0.5,0.927272727272727
OTU407,BOLD:AAK8831,5,1,1796,18,17,1791,0.0555555555555556,0.00278396436525612
OTU43,BOLD:ACE2171,20437,3,41521,35,32,21084,0.0857142857142857,0.492208761831362
OTU45,BOLD:ACF0541,9632,1,35939,25,24,26307,0.04,0.268009683074098
OTU5,BOLD:AAN5451,5497,3,888226,172,169,882729,0.0174418604651163,0.00618874025304371
OTU57,BOLD:AAI1618,5300,2,57709,66,64,52409,0.0303030303030303,0.091840094266059
OTU635,BOLD:AAN5882,14,1,8517,52,51,8503,0.0192307692307692,0.00164377128096748
OTU651,BOLD:ACD3689,645,1,799,3,2,154,0.333333333333333,0.807259073842303
OTU672,BOLD:ACI6375,436,1,436,1,0,0,1,1
OTU68,BOLD:AAB7030,3982,1,60257,109,108,56275,0.00917431192660551,0.0660836085434057
OTU691,BOLD:AAC9132,478,1,482,2,1,4,0.5,0.991701244813278
OTU7,BOLD:AAF4632,12019,1,381598,104,103,369579,0.00961538461538462,0.0314964963128738
OTU779,BOLD:ABW9743,18,1,319,9,8,301,0.111111111111111,0.0564263322884013
OTU798,BOLD:AAO3940,62,1,2313,18,17,2251,0.0555555555555556,0.0268050151318634
OTU8,BOLD:AAN4385,40675,3,99272,18,15,58597,0.166666666666667,0.409732855185752
OTU83,BOLD:ABA5203,1111,1,20276,9,8,19165,0.111111111111111,0.0547938449398303
OTU88,BOLD:AAE0434,335,1,20805,66,65,20470,0.0151515151515152,0.0161018985820716
OTU9,BOLD:AAG8502,8840,2,185762,50,48,176922,0.04,0.0475877736027821
OTU907,BOLD:AAO3940,31,1,1336,50,49,1305,0.02,0.0232035928143713
OTU935,BOLD:AAO3940,93,2,2720,45,43,2627,0.0444444444444444,0.0341911764705882
OTU96,BOLD:ACL3138,715,1,14044,6,5,13329,0.166666666666667,0.0509114212475078
