SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,BOLDalt,Species,AgeClass,Sex,Date,NestBox,uneID,Sequenced,onclick
une-31,OTU707_suspect_mock_chimera,GS,100,BOLD:ABZ1624.1,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Machimia,Machimia tentoriferella,26,BOLD:ABZ1624,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABZ1624
une-31,OTU709_suspect_mock_chimera,GS,97.2,BOLD:AAA2383.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,1491,BOLD:AAA2383,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2383
une-31,OTU714,US,1,BOLD:ACO0955.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,61,BOLD:ACO0955,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACO0955
une-31,OTU716_suspect_mock_chimera,GS,100,BOLD:ADH6740.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula submaculata,38,BOLD:ADH6740,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ADH6740
une-31,OTU717_suspect_mock_chimera,US,0.9919,BOLD:ACP6909.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,56,BOLD:ACP6909,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACP6909
une-31,OTU724_suspect_mock_chimera,GS,99.4,BOLD:AAG4430.1,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Plagiometriona,Plagiometriona clavata,76,BOLD:AAG4430,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG4430
une-31,OTU725_suspect_mock_chimera,GS,99.4,BOLD:ABU6610.2,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Erioptera,NA,90,BOLD:ABU6610,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABU6610
une-31,OTU733_suspect_mock_chimera,GS,100,BOLD:AAE9707.1,Animalia,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Serratella,Serratella serrata,55,BOLD:AAE9707,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAE9707
une-31,OTU734_suspect_mock_chimera,GS,97.2,BOLD:AAY1152.1,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga tristis,52,BOLD:AAY1152,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAY1152
une-31,OTU735,US,1,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,54,None,TRSW,adult,F,42887,soccer_1,31,Y,no_link_available
une-31,OTU748,US,1,BOLD:ABU8638.7,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,52,BOLD:ABU8638,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABU8638
une-31,OTU753_suspect_mock_chimera,GS,99.4,BOLD:AAB0300.1,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Sphinx,Sphinx kalmiae,52,BOLD:AAB0300,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB0300
une-31,OTU754_suspect_mock_chimera,GS,99.4,BOLD:AAB0224.1,Animalia,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,Swammerdamia,Swammerdamia caesiella,63,BOLD:AAB0224,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB0224
une-31,OTU755_suspect_mock_chimera,GS,99.4,BOLD:AAB4297.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Pelochrista,Pelochrista similiana,51,BOLD:AAB4297,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB4297
une-31,OTU756_suspect_mock_chimera,SS,1,BOLD:AAA2383.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,304,BOLD:AAA2383,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2383
une-31,OTU762_suspect_mock_chimera,GS,100,BOLD:AAB4159.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Palpita,Palpita aenescentalis,51,BOLD:AAB4159,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB4159
une-31,OTU764_suspect_mock_chimera,SS,0.99,BOLD:AAA2377.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,113,BOLD:AAA2377,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2377
une-31,OTU765_suspect_mock_chimera,GS,99.3,BOLD:AAV0590.1,Animalia,Arthropoda,Arachnida,Mesostigmata,Blattisociidae,Cheiroseius,NA,58,BOLD:AAV0590,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAV0590
une-31,OTU766_suspect_mock_chimera,US,0.9963,BOLD:ACY9995.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,60,BOLD:ACY9995,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACY9995
une-31,OTU767_suspect_mock_chimera,GS,99.4,BOLD:AAC7887.1,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Athetis,Athetis thoracica,50,BOLD:AAC7887,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC7887
une-31,OTU768_suspect_mock_chimera,GS,99.4,BOLD:AAA7515.8,Animalia,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis punctata,49,BOLD:AAA7515,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA7515
une-31,OTU774_suspect_mock_chimera,GS,97.8,BOLD:AAG6104.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,48,BOLD:AAG6104,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG6104
une-31,OTU776_suspect_mock_chimera,GS,100,BOLD:AAB4731.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,Argyrotaenia alisellana,49,BOLD:AAB4731,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB4731
une-31,OTU777_suspect_mock_chimera,GS,100,BOLD:AAL7322.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,48,BOLD:AAL7322,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAL7322
une-31,OTU778,US,1,BOLD:AAW0364.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,48,BOLD:AAW0364,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAW0364
une-31,OTU779,US,0.9916,BOLD:ACT8457.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,85,BOLD:ACT8457,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACT8457
une-31,OTU784_suspect_mock_chimera,GS,100,BOLD:AAG2348.1,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Lixophaga,NA,45,BOLD:AAG2348,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG2348
une-31,OTU785_suspect_mock_chimera,SS,0.82,BOLD:AAM7567.1,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Melanotus,Melanotus similis,47,BOLD:AAM7567,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAM7567
une-31,OTU786_suspect_mock_chimera,GS,100,BOLD:AAA3920.2,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Agriphila,Agriphila ruricolellus,60,BOLD:AAA3920,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3920
