SampleID,OTUid,OTU_identifier,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,Site,Date,BatTagID,BatSpecies,Sex
nau.7002,OTU1,BOLD:AAW6052,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,2,LABL,F
nau.7002,OTU71,BOLD:ACF5230,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Ponometia,Ponometia bicolorata,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,2,LABL,F
nau.7004,OTU13,BOLD:AAA0716,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Metaponpneumata,Metaponpneumata rogenhoferi,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7004,OTU4,BOLD:AAB0279,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7004,OTU196,BOLD:AAB7737,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Donacaula,Donacaula melinella CS,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7004,OTU12,BOLD:AAH5510,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Setomorpha,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7004,OTU1,BOLD:AAW6052,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Acrolophus,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7004,OTU33,BOLD:AAY5064,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7004,OTU199,BOLD:ABA3523,Animalia,Arthropoda,Insecta,Coleoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
nau.7004,OTU48,BOLD:ABA3533,Animalia,Arthropoda,Insecta,Coleoptera,unknown,unknown,unknown,ESCAMECCA_GRANDE_HOT_SPRINGS,5/31/16,5,NOLE,F
