BatSpecies,Site,ArthropodFamily,RelativeCounts,TotalCounts,percent_taxa
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,unknown,5,17,29.4117647058824
RHBI,ESCAMAQUITA,Blastobasidae,2,19,10.5263157894737
RHBI,ESCAMAQUITA,Coleophoridae,1,19,5.26315789473684
RHBI,ESCAMAQUITA,Cosmopterigidae,1,19,5.26315789473684
RHBI,ESCAMAQUITA,Culicidae,1,19,5.26315789473684
RHBI,ESCAMAQUITA,Depressariidae,1,19,5.26315789473684
RHBI,ESCAMAQUITA,Erebidae,1,19,5.26315789473684
RHBI,ESCAMAQUITA,Gelechiidae,1,19,5.26315789473684
RHBI,ESCAMAQUITA,unknown,11,19,57.8947368421053
RHBI,SARDINA,Formicidae,1,2,50
RHBI,SARDINA,unknown,1,2,50
RHDU,NICARAGUA,Blastobasidae,1,8,12.5
RHDU,NICARAGUA,Depressariidae,1,8,12.5
RHDU,NICARAGUA,Erebidae,1,8,12.5
RHDU,NICARAGUA,Muscidae,1,8,12.5
RHDU,NICARAGUA,Tineidae,1,8,12.5
RHDU,NICARAGUA,unknown,3,8,37.5
RHNA,SARDINA,Chironomidae,1,6,16.6666666666667
RHNA,SARDINA,Cosmopterigidae,1,6,16.6666666666667
RHNA,SARDINA,Depressariidae,1,6,16.6666666666667
RHNA,SARDINA,unknown,3,6,50
STPA,ESCAMAQUITA,Erebidae,1,3,33.3333333333333
STPA,ESCAMAQUITA,Euteliidae,1,3,33.3333333333333
STPA,ESCAMAQUITA,Tineidae,1,3,33.3333333333333
STPA,FINCA_GUADELUPE,Euteliidae,1,2,50
STPA,FINCA_GUADELUPE,unknown,1,2,50
TRCI,SARDINA,Cicadidae,1,9,11.1111111111111
TRCI,SARDINA,Crambidae,1,9,11.1111111111111
TRCI,SARDINA,Erebidae,1,9,11.1111111111111
TRCI,SARDINA,Euteliidae,1,9,11.1111111111111
TRCI,SARDINA,Tineidae,1,9,11.1111111111111
TRCI,SARDINA,unknown,4,9,44.4444444444444
