CommonName,LinneanName,Database
,Phloeosinus dentatus,USDA
,Phloeosinus furnissi,USDA
,Phloeosinus hoferi,USDA
,Phloeosinus hoppingi,USDA
,Phloeosinus pini,USDA
,Phloeosinus punctatus,USDA
,Phloeosinus scopulorum neomexicanus,USDA
,Phloeosinus scopulorum s.str.,USDA
,Phloeosinus sequoiae,USDA
,Phloeosinus serratus,USDA
,Phloeosinus taxodii taxodii,USDA
,Phloeosinus vandykei,USDA
,Phloeotribus,USDA
,Phloeotribus dentifrons,USDA
,Phloeotribus frontalis,USDA
,Phloeotribus lecontei,USDA
,Phloeotribus liminaris,USDA
,Phloeotribus piceae,USDA
,Phloeotribus texanus,USDA
,Pityoborus,USDA
,Pityoborus comatus,USDA
,Pityogenes,USDA
,Pityogenes bidentatus,USDA
,Pityogenes carinulatus,USDA
,Pityogenes chalcographus,USDA
,Pityogenes fossifrons,USDA
,Pityogenes hopkinsi,USDA
,Pityogenes kneckteli,USDA
,Pityogenes meridianus,USDA
,Pityogenes plagiatus,USDA
,Pityokteines,USDA
,Pityokteines elegans,USDA
,Pityokteines minutus,USDA
,Pityokteines ornatus,USDA
,Pityokteines sparsus,USDA
,Pityophthorus,USDA
,Pityophthorus annectans,USDA
,Pityophthorus arcanus,USDA
,Pityophthorus barberi,USDA
,Pityophthorus cariniceps,USDA
,Pityophthorus confusus,USDA
,Pityophthorus consimilis,USDA
,Pityophthorus crinalis,USDA
,Pityophthorus juglandis,USDA
,Pityophthorus lautus,USDA
,Pityophthorus liquidambarus,USDA
,Pityophthorus pulchellus,USDA
,Pityophthorus pulicarius,USDA
,Pityophthorus pullus,USDA
,Pityophthorus spp,USDA
,Platypodinae,USDA
,Polygraphus convexifrons,USDA
,Polygraphus rufipennis,USDA
,Premnobius cavipennis,USDA
,Premnobius spp,USDA
,Procryphalus utahensis,USDA
,Pseudips concinnus,USDA
,Pseudips mexicanus,USDA
,Pseudohylesinus dispar,USDA
,Pseudohylesinus granulatus,USDA
,Pseudohylesinus nebulosus nebulosus,USDA
,Pseudohylesinus pini,USDA
,Pseudohylesinus sericeus,USDA
,Pseudohylesinus sitchensis,USDA
,Pseudohylesinus tsugae,USDA
,Pseudopityophthorus,USDA
,Pseudopityophthorus agrifoliae,USDA
,Pseudopityophthorus asperulus,USDA
,Pseudopityophthorus minutissimus,USDA
,Pseudopityophthorus pruinosis,USDA
,Pseudopityophthorus pubipennis,USDA
,Pseudothysanoes,USDA
,Pseudothysanoes dislocatus,USDA
,Ptilopodius sp.,USDA
,Pycnarthrum hispidum,USDA
,Scierus annectans,USDA
,Scolytodes,USDA
,Scolytodes schwarzi,USDA
,Scolytogenes jalapae,USDA
,Scolytogenes sp.,USDA
,Scolytus,USDA
,Scolytus fagi,USDA
,Scolytus laricis,USDA
,Scolytus mali,USDA
,Scolytus monticolae,USDA
,Scolytus multistriatus,USDA
,Scolytus muticus,USDA
,Scolytus opacus,USDA
,Scolytus oregoni,USDA
,Scolytus piceae,USDA
,Scolytus praeceps,USDA
,Scolytus quadrispinosus,USDA
,Scolytus reflexus,USDA
,Scolytus robustus,USDA
,Scolytus rugulosus,USDA
,Scolytus schevyrewi,USDA
,Scolytus tsugae,USDA
,Scolytus unispinosus,USDA
,Scolytus ventralis,USDA
,Stevewoodia minutus,USDA
,Theoborus puertoricensis,USDA
,Theoborus ricini,USDA
,Thysanoes,USDA
,Thysanoes fimbricornis,USDA
,Thysanoes pallens,USDA
,Tomicus piniperda,USDA
,Tony Courter,USDA
,Trischidias,USDA
,Trischidias puertoricensis,USDA
,Trypodendron,USDA
,Trypodendron betulae,USDA
,Trypodendron borealis,USDA
,Trypodendron domesticum,USDA
,Trypodendron lineatum,USDA
,Trypodendron retusum,USDA
,Trypodendron rufitarsis,USDA
,Trypodendron scabricollis,USDA
,Trypophloeus populi,USDA
,Trypophloeus salicis,USDA
,Trypophloeus thatcheri,USDA
,Wallacellus similis,USDA
,Xyleborinus andrewesi,USDA
,Xyleborinus artestriatus,USDA
,Xyleborinus attenuatus,USDA
,Xyleborinus exiguus,USDA
,Xyleborinus gracilis,USDA
,Xyleborinus insulosus,USDA
,Xyleborinus octiesdentatus,USDA
,Xyleborinus saxesenii,USDA
,Xyleborus affinis,USDA
,Xyleborus bispinatus,USDA
,Xyleborus celsus,USDA
,Xyleborus ferrugineus,USDA
,Xyleborus glabratus,USDA
,Xyleborus horridus,USDA
,Xyleborus impressus,USDA
,Xyleborus intrusus,USDA
,Xyleborus obesus,USDA
,Xyleborus perforans,USDA
,Xyleborus pfeili,USDA
,Xyleborus planicollis,USDA
,Xyleborus positicus,USDA
,Xyleborus pubescens,USDA
,Xyleborus seriatus,USDA
,Xyleborus simillimus,USDA
,Xyleborus simulatus,USDA
,Xyleborus sp.,USDA
,Xyleborus spinulosus,USDA
,Xyleborus viduus,USDA
,Xyleborus volvulus,USDA
,Xyleborus xylographus,USDA
,Xylechinus americanus,USDA
,Xylechinus montanus,USDA
,Xylosandrus amputatus,USDA
,Xylosandrus compactus,USDA
,Xylosandrus crassiusculus,USDA
,Xylosandrus germanus,USDA
,Xylosandrus morigerus,USDA
,Xyloterinus politus,USDA
