CommonName,LinneanName,Database
Carpenter worm,Chilecomadia valdiviana,Perdue
Casuarina tussock moth,Lymantria xylina,Perdue
Cerambycid beetle,Xylotrechus spp.,Perdue
Cerambycid sawyer beetle,Monochamus spp.,Perdue
Cereal cyst nematode,Heterodera filipjevi,Perdue
Cereal leaf beetle,Oulema melanopus,Perdue
Cereal leaf beetle fairyfly,Anaphes flavipes,Perdue
Cheatgrass; Downy brome,Bromus tectorum,Perdue
Cherry bark Tortrix,Enarmonia formosana,Perdue
Cherry blossom moth,Argyresthia pruniella,Perdue
Chestnut blight,Cryphonectria parasitica,Perdue
Chickpea cyst nematode,Heterodera ciceri,Perdue
Chilean false red mite,Brevipalpus chilensis,Perdue
Chilli thrips; Yellow tea thrips,Scirtothrips dorsalis,Perdue
Chinaberry,Melia azedarach,Perdue
Chinese mystery snail,Cipangopaludina chinensis,Perdue
Chinese slug,Meghimatium pictum,Perdue
Christmas berry webworm,Cryptoblabes gnidiella,Perdue
Chrysanthemum white rust,Puccinia horiana,Perdue
Citrus black spot,Phyllosticta citricarpa,Perdue
Citrus brown mite,Eutetranychus orientalis,Perdue
Citrus canker,Xanthomonas axonopodis pv. citri,Perdue
Citrus fruit borer,Gymnandrosoma aurantianum,Perdue
Citrus greening huanglongbing (African),Candidatus Liberibacter africanus,Perdue
Citrus greening huanglongbing (Asian),Candidatus Liberibacter asiaticus,Perdue
Citrus greening huanglongbing (Brazilian,Candidatus Liberibacter americanus,Perdue
Citrus leprosis (CiLV),Cilevirus Citrus Leprosis Virus,Perdue
Citrus longhorned beetle,Anoplophora chinensis,Perdue
Citrus root-knot nematode,Meloidogyne donghaiensis,Perdue
Citrus root-knot nematode,Meloidogyne citri,Perdue
Citrus root-knot nematode,Meloidogyne mingnanica,Perdue
Citrus root-knot nematode,Meloidogyne indica,Perdue
Citrus root-knot nematode,Meloidogyne fujianensis,Perdue
Citrus root-knot nematode,Meloidogyne kongi,Perdue
Citrus root-knot nematode,Meloidogyne jianyangensis,Perdue
Citrus tristeza (CTV); Quick decline,Closterovirus Citrus Tristeza Virus,Perdue
Citrus variegated chlorosis,Xylella fastidiosa CVC strain,Perdue
City longhorned beetle,Aeolesthes sarta,Perdue
Climbing nightshade; Bittersweet,Solanum dulcamara,Perdue
Coastal wattle,Acacia cyclops,Perdue
Cochlicellid snails,Cochlicella spp.,Perdue
Cocoa mealybug,Exallomochlus hispidus,Perdue
Coconut cadang cadang (CCCVd),Cocadviroid Coconut Cadang Cadang Viroid,Perdue
Coconut rhinoceros beetle,Oryctes rhinoceros,Perdue
Codling moth,Cydia pomonella,Perdue
Coffee leaf rust,Hemileia vastatrix,Perdue
Coffee mealybug,Planococcus lilacinus,Perdue
Coffee root-knot nematode,Meloidogyne coffeicola,Perdue
Coffee white stem borer beetle,Xylotrechus quadripes,Perdue
Cogongrass,Imperata cylindrica,Perdue
Colocasia bobone disease (CBDV),Cytorhabdovirus Colocasia Bobone Disease Virus,Perdue
Colony collapse,Unknown Disorder,Perdue
Colorado potato beetle,Leptinotarsa decemlineata,Perdue
Columbian root-knot nematode,Meloidogyne chitwoodi,Perdue
Common buckthorn,Rhamnus cathartica,Perdue
Common cordgrass,Spartina anglica,Perdue
Common reed,Phragmites australis (communis),Perdue
Common Russian thistle,Salsola tragus,Perdue
Common watercress,Nasturtium officinale,Perdue
Coontail,Ceratophyllum demersum,Perdue
Corn cyst nematode,Heterodera zeae,Perdue
Corn tar spot,Phyllachora maydis,Perdue
Corn; Sorghum bacterial stripe,Burkholderia andropogonis,Perdue
Cotton cutworm,Spodoptera litura,Perdue
Cotton seed bug,Oxycarenus hyalinipennis,Perdue
Cottony citrus scale,Pulvinaria polygonata,Perdue
Cottony cushion scale,Icerya purchasi,Perdue
Cowpea witchweed,Striga gesnerioides,Perdue
Crack willow,Salix fragilis,Perdue
Creeping jenny; Moneywort,Lysimachia nummularia,Perdue
Crenate broomrape,Orobanche crenata,Perdue
Cucumber green mottle mosaic (CGMMV),Tobamovirus Cucumber Green Mottle Mosaic Virus,Perdue
Cucurbit beetle,Diabrotica speciosa,Perdue
Curly-leaved pondweed,Potamogeton crispus,Perdue
Dagger nematode,Xiphinema bakeri,Perdue
Dagger nematode,Xiphinema coxi,Perdue
Dagger nematodes,Xiphinema spp.,Perdue
Dalmatian toadflax,Linaria dalmatica,Perdue
Date palm spider mite,Oligonychus calicicola,Perdue
Daylily rust,Puccinia hemerocallidis,Perdue
Denseflower cordgrass,Spartina densiflora,Perdue
Diaprepes root weevil,Diaprepes abbreviatus,Perdue
Diplodia tip blight; Canker,Diplodia sapinea,Perdue
Dodder,Cuscuta monogyna,Perdue
Dogwood anthracnose,Discula destructiva,Perdue
Dothistroma needle blight,Dothistroma septosporum,Perdue
Dutch elm disease,Ophiostoma ulmi,Perdue
Dwarf bunt,Tilletia controversa,Perdue
Dyers woad,Isatis tinctoria,Perdue
Eastern cherry fruit fly,Rhagoletis cingulata,Perdue
Eastern heath snail,Xerolenta obvia,Perdue
Egyptian cottonworm,Spodoptera littoralis,Perdue
Elm seed bug,Arocatus melanocephalus,Perdue
Elongate hemlock scale,Fiorinia externa,Perdue
Emerald ash borer,Agrilus planipennis,Perdue
English ivy,Hedera helix,Perdue
Erythrina gall wasp,Quadrastichus erythrinae,Perdue
Euphorbia pit scale,Planchonia stentae,Perdue
Eurasian watermilfoil,Myriophyllum spicatum,Perdue
European chafer,Rhizotrogus majalis,Perdue
European cherry fruit fly,Rhagoletis cerasi,Perdue
European chestnut weevil,Curculio elephas,Perdue
European corn borer,Ostrinia nubilalis,Perdue
European corn borer egg parasite,Trichogramma ostriniae,Perdue
European crane fly,Tipula paludosa,Perdue
European dagger nematode,Xiphinema diversicaudatum,Perdue
European elm bark beetle,Scolytus scolytus,Perdue
European elm flea weevil,Orchestes alni,Perdue
European flower thrips,Frankliniella intonsa,Perdue
European grape berry moth,Eupoecilia ambiguella,Perdue
European grapevine moth,Lobesia botrana,Perdue
European gypsy moth,Lymantria dispar dispar,Perdue
European hardwood Ambrosia beetle,Trypodendron domesticum,Perdue
European honey bee,Apis mellifera european,Perdue
European imported fire ant,Myrmica rubra,Perdue
European larch canker,Lachnellula willkommi,Perdue
European oak bark beetle,Scolytus intricatus,Perdue
European pepper moth,Duponchelia fovealis,Perdue
European pine sawfly,Neodiprion sertifer,Perdue
European pine shoot moth,Rhyacionia buoliana,Perdue
European poplar shoot borer,Gypsonoma aceriana,Perdue
European spruce bark beetle,Ips typographus,Perdue
European stone fruit yellows,Candidatus Phytoplasma prunorum 16SrX-F,Perdue
European water clover,Marsilea quadrifolia,Perdue
Fall webworm,Hyphantria cunea,Perdue
False coconut scale,Aspidiotus rigidus,Perdue
False codling moth,Thaumatotibia leucotreta,Perdue
False columbia root-knot nematode,Meloidogyne fallax,Perdue
False root-knot nematode,Nacobbus aberrans,Perdue
Feathered mosquitofern,Azolla pinnata,Perdue
Field bindweed,Convolvulus arvensis,Perdue
Fire ant,Solenopsis geminata,Perdue
Flag smut,Urocystis tritici,Perdue
Flavescence doree,Candidatus Phytoplasma vitis 16SrV-D,Perdue
Flowering rush,Butomus umbellatus,Perdue
Forest tent caterpillar,Malacosoma disstria,Perdue
Formosan subterranean termite,Coptotermes formosanus,Perdue
Fruit piercing moth,Eudocima fullonia,Perdue
Fruit tree Tortrix,Archips podana,Perdue
Fusarium basal stem rot,Fusarium oxysporum,Perdue
Fusarium blight,Fusarium graminearum,Perdue
Garden cornflower,Centaurea cyanus,Perdue
Garden lupine,Lupinus polyphyllus,Perdue
Garlic mustard,Alliaria petiolata,Perdue
Giant African snail,Lissachatina fulica,Perdue
Giant bulrush,Actinoscirpus grossus,Perdue
Giant dodder,Cuscuta reflexa,Perdue
Giant ghana snail,Achatina achatina,Perdue
Giant hogweed,Heracleum mantegazzianum,Perdue
Giant knotweed,Fallopia (Polygonum) sachalinensis (sachalinense),Perdue
Giant Salvinia,Salvinia herzogii,Perdue
Giant Salvinia; Eared watermoss,Salvinia auriculata,Perdue
Giant Salvinia; Karibaweed,Salvinia molesta,Perdue
Giant wood wasp,Urocerus gigas gigas,Perdue
Girdled snail,Hygromia cinctella,Perdue
Gladiolus rust,Uromyces transversalis,Perdue
Glassy-winged sharpshooter,Homalodisca vitripennis,Perdue
Glossy buckthorn,Rhamnus frangula,Perdue
Goat's rue,Galega officinalis,Perdue
Golden apple snail,Pomacea dolioides,Perdue
Golden apple snail,Pomacea canaliculata,Perdue
Golden nematode,Globodera rostochiensis,Perdue
Golden twin spot moth,Chrysodeixis chalcites,Perdue
Golden willow; Osier,Salix alba,Perdue
Goldspotted oak borer,Agrilus auroguttatus,Perdue
Granulate Ambrosia beetle,Xylosandrus crassiusculus,Perdue
Grapevine fanleaf (GFLV),Nepovirus Grapevine Fanleaf Virus,Perdue
Grapevine Pierce's disease,Xylella fastidiosa,Perdue
Grasshopper,Trimerotropis fratercula,Perdue
Grassy arrowhead,Sagittaria graminea,Perdue
Great spruce bark beetle,Dendroctonus micans,Perdue
Green alder sawfly,Monsoma pulveratum,Perdue
Green burrowing snail,Cantareus apertus,Perdue
Green oak Tortrix,Tortrix viridana,Perdue
Groundnut bud necrosis (GBNV),Tospovirus Groundnut Bud Necrosis Virus,Perdue
Guatemalan potato moth,Tecia solanivora,Perdue
Guava fruit fly,Bactrocera correcta,Perdue
Guava rust; Eucalyptus rust,Puccinia psidii,Perdue
Gypsy moth,Lymantria dispar,Perdue
Hairy willowweed,Epilobium hirsutum,Perdue
Hawkweed,Hieracium spp.,Perdue
Heavenly-bamboo,Nandina domestica,Perdue
Hemlock borer,Melanophila fulvoguttata,Perdue
Hemlock looper,Lambdina fiscellaria,Perdue
Hemlock woolly adelgid,Adelges tsugae,Perdue
Hemlock woolly adelgid lady beetle,Sasajiscymnus tsugae,Perdue
Hibiscus (Pink) mealybug,Maconellicoccus hirsutus,Perdue
Hickory shuckworm,Cydia caryana,Perdue
High plains disease (HPV),Emaravirus High Plains Wheat Mosaic Virus,Perdue
Hoary Alyssum,Berteroa incana,Perdue
Hoary cress; Whitetop,Cardaria draba,Perdue
Hokkaido gypsy moth,Lymantria umbrosa,Perdue
Horned oak gall wasp,Callirhytis cornigera,Perdue
Horse thistle,Onopordum acaulon,Perdue
Hosta virus X (HVX),Potexvirus Hosta Virus X,Perdue
Hydrilla,Hydrilla verticillata,Perdue
Hygromiid snail,Monacha cartusiana,Perdue
Hygromiid snail,Monacha cantiana,Perdue
Hygromiid snail,Xerotricha conspurcata,Perdue
Hygromiid snails,Cernuella spp.,Perdue
Hygromiid snails,Monacha spp.,Perdue
Iceryine scale,Crypticerya multicicatrices,Perdue
Iris borer,Macronoctua onusta,Perdue
Island apple snail,Pomacea insularum,Perdue
Japanese apple rust,Gymnosporangium yamadae,Perdue
Japanese beetle,Popillia japonica,Perdue
Japanese brome,Bromus japonicus,Perdue
Japanese cedar longhorned beetle,Callidiellum rufipenne,Perdue
Japanese climbing fern,Lygodium japonicum,Perdue
Japanese gypsy moth,Lymantria dispar japonica,Perdue
Japanese honeysuckle,Lonicera japonica,Perdue
Japanese hops,Humulus japonicus,Perdue
Japanese knotweed,Polygonum cuspidatum,Perdue
Japanese oak wilt,Raffaelea quercivora,Perdue
Japanese pine sawyer,Monochamus alternatus,Perdue
Japanese stilt grass,Microstegium vimineum,Perdue
Japanese wax scale,Ceroplastes japonicus,Perdue
Java downy mildew,Peronosclerospora maydis,Perdue
Javanese root-knot nematode,Meloidogyne javanica,Perdue
Jewel beetle,Agrilus sulcicollis,Perdue
Jumping snail,Ovachlamys fulgens,Perdue
Karnal bunt,Tilletia indica,Perdue
Khapra beetle,Trogoderma granarium,Perdue
Kudzu,Pueraria montana (lobata),Perdue
Ladybird beetle,Stethorus punctum,Perdue
Ladybird beetle,Coleomegilla maculata,Perdue
Ladybird beetle scale predator,Chilocorus kuwanae,Perdue
Laelapid mite,Tropilaelaps clareae,Perdue
Large pine weevil,Hylobius abietis,Perdue
Large white butterfly,Pieris brassicae,Perdue
Late blight,Phytophthora infestans,Perdue
Late wilt of corn,Harpophora maydis,Perdue
Laurel wilt,Raffaelea lauricola,Perdue
Leafy spurge,Euphorbia esula,Perdue
Leatherleaf slugs,Laevicaulis spp.,Perdue
Leatherleaf slugs,Colosius spp.,Perdue
Leatherleaf slugs,Belocaulus spp.,Perdue
Leatherleaf slugs,Semperula spp.,Perdue
Leatherleaf slugs,Veronicellidae spp.,Perdue
Leatherleaf slugs,Veronicella spp.,Perdue
Leatherleaf slugs,Sarasinula spp.,Perdue
Leek moth,Acrolepiopsis assectella,Perdue
Lesion nematodes,Pratylenchus spp.,Perdue
Lesser cattail,Typha angustifolia,Perdue
Lesser pine shoot beetle,Tomicus minor,Perdue
Lesser spruce shoot beetle,Hylurgops palliatus,Perdue
Light brown apple moth,Epiphyas postvittana,Perdue
Lily leaf beetle,Lilioceris lilii,Perdue
Lime swallowtail,Papilio demoleus,Perdue
Limnophila,Limnophila sessilifolia,Perdue
Little fire ant,Wasmannia auropunctata,Perdue
Lobate lac scale,Paratachardina pseudolobata,Perdue
Locust leafminer,Odontota dorsalis,Perdue
Longhorned beetle,Anoplophora spp.,Perdue
Longhorned beetle,Xylotrechus pyrrhoderus,Perdue
Loosestrife root weevil,Hylobius transversovittus,Perdue
Mahoberberis,Mahoberberis spp.,Perdue
Mahonia,Mahonia spp.,Perdue
Mal del cipres; Cypress mortality,Phytophthora austrocedrae,Perdue
Malaysian fruit fly,Bactrocera latifrons,Perdue
Mango fruit rot,Neofusicoccum mangiferae,Perdue
Mango seed weevil,Sternochetus mangiferae,Perdue
Mango sudden decline,Ceratocystis manginecans,Perdue
Maritime garden snail,Cernuella virgata,Perdue
Masson pine moth,Dendrolimus punctatus,Perdue
Meadow fleabane,Inula britannica,Perdue
Meadow knapweed,Centaurea debeauxii thuillieri,Perdue
Mealybug,Hypogeococcus pungens,Perdue
Mediterranean cereal cyst nematode,Heterodera latipons,Perdue
Mediterranean fruit fly (Medfly),Ceratitis capitata,Perdue
Mediterranean pine engraver,Orthotomicus erosus,Perdue
Medusa head,Taeniatherum caput-medusae,Perdue
Melastomatid weed,Miconia calvescens,Perdue
Melon fly,Bactrocera cucurbitae,Perdue
Melon thrips,Thrips palmi,Perdue
Mexican bean beetle,Epilachna varivestis,Perdue
Mexican corn cyst nematode,Punctodera chalcoensis,Perdue
Mexican fruit fly (Mexfly),Anastrepha ludens,Perdue
Mexican rice borer,Eoreuma loftini,Perdue
Mile-a-minute weed,Persicaria perfoliata,Perdue
Milk snail,Otala lactea,Perdue
Milky spore (Grub control),Bacillus popilliae,Perdue
Miramarweed; Indian waterweed,Hygrophila polysperma,Perdue
Monochoria,Monochoria vaginalis,Perdue
Mormon cricket,Anabrus simplex,Perdue
Mottled umber moth,Erannis defoliaria,Perdue
Mountain oak longhorned beetle,Massicus raddei,Perdue
Mountain pine beetle,Dendroctonus ponderosae,Perdue
Mud-mat,Glossostigma cleistanthum,Perdue
Mulberry borer,Xylotrechus chinensis,Perdue
Multicolored Asian lady beetle,Harmonia axyridis,Perdue
Myoporum thrips,Klambothrips myopori,Perdue
Myrtle spurge,Euphorbia myrsinites,Perdue
Needle blight of pine,Pseudocercospora pini-densiflorae,Perdue
Needle nematode,Longidorus diadecturus,Perdue
Nettle caterpillar,Darna pallivitta,Perdue
New guinea sugarcane weevil,Rhabdoscelus obscurus,Perdue
New zealand mud snail,Potamopyrgus antipodarum,Perdue
Nigerian land snail,Limicolaria aurora,Perdue
Noctuid moth,Copitarsia spp.,Perdue
Nodding broomrape,Orobanche cernua,Perdue
Nodding plumeless thistle,Carduus nutans,Perdue
Northern root-knot nematode,Meloidogyne hapla,Perdue
Norway maple,Acer platanoides,Perdue
Nosema disease,Nosema ceranae,Perdue
Nun moth,Lymantria monacha,Perdue
Oak Ambrosia beetle,Platypus quercivorus,Perdue
Oak processionary moth,Thaumetopoea processionea,Perdue
Oak splendour beetle,Agrilus biguttatus,Perdue
Oak wilt,Ceratocystis fagacearum,Perdue
Oat cyst nematode,Heterodera avenae,Perdue
Old World bollworm,Helicoverpa armigera,Perdue
Olive fruit fly,Bactrocera oleae,Perdue
Onionweed,Asphodelus fistulosus,Perdue
Orange eye butterflybush,Buddleja davidii,Perdue
Orange hawkweed,Hieracium aurantiacum,Perdue
Orange spiny whitefly,Aleurocanthus spiniferus,Perdue
Oriental beetle,Anomala orientalis,Perdue
Oriental fruit fly,Bactrocera dorsalis,Perdue
Oriental fruit moth,Grapholita molesta,Perdue
Ottelia; Duck-lettuce,Ottelia alismoides,Perdue
Pale cyst nematode,Globodera pallida,Perdue
Palm borer,Paysandisia archon,Perdue
Palm lethal yellowing,Candidatus Phytoplasma palmae 16SrIV,Perdue
Panama disease; Fusarium wilt,Fusarium oxysporum f.sp. cubense,Perdue
Paragrass,Urochloa mutica,Perdue
Parana coffee root-knot nematode,Meloidogyne paranaensis,Perdue
Parasitic plant,Aeginetia indica,Perdue
Parrotfeather,Myriophyllum aquaticum,Perdue
Passionvine mealybug,Planococcus minor,Perdue
Pea cyst nematode,Heterodera goettingiana,Perdue
Peach fruit fly,Bactrocera zonata,Perdue
Peanut root-knot nematode,Meloidogyne arenaria,Perdue
Pear blight beetle,Xyleborus dispar,Perdue
Pear leaf blister moth,Leucoptera malifoliella,Perdue
Pear thrips,Taeniothrips inconsequens,Perdue
Pecan nut casebearer,Acrobasis nuxvorella,Perdue
Pecan root-knot nematode,Meloidogyne partityla,Perdue
Pecan weevil,Curculio caryae,Perdue
Perennial sowthistle,Sonchus arvensis,Perdue
Philippine downy mildew,Peronosclerospora philippinensis,Perdue
Physoderma brown spot; Stalk rot,Physoderma maydis,Perdue
Phytophthora fruit rot,Phytophthora syringae,Perdue
Phytophthora leaf blight,Phytophthora colocasiae,Perdue
Phytophthora leaf blight,Phytophthora kernoviae,Perdue
Phytophthora oak decline; Root rot,Phytophthora quercina,Perdue
Pigeonpea cyst nematode,Heterodera cajani,Perdue
Pine beauty moth,Panolis flammea,Perdue
Pine processionary moth,Thaumetopoea pityocampa,Perdue
Pine sawfly,Diprion pini,Perdue
Pine shoot beetle,Tomicus destruens,Perdue
Pine shoot beetle,Tomicus piniperda,Perdue
Pine tortoise scale,Toumeyella parvicornis,Perdue
Pine wilt nematode (Pinewood),Bursaphelenchus xylophilus,Perdue
Pine witches' broom,Candidatus Phytoplasma pini-related 16SrXXI-B,Perdue
Pine-tree lappet,Dendrolimus pini,Perdue
Pink bollworm,Pectinophora gossypiella,Perdue
Plum Curculio,Conotrachelus nenuphar,Perdue
Plum fruit moth,Grapholita funebrana,Perdue
Plum pox (PPV),Potyvirus Plum Pox Virus,Perdue
Poinciana looper,Pericyma cruegeri,Perdue
Poison hemlock,Conium maculatum,Perdue
Policeman's helmet,Impatiens glandulifera,Perdue
Popillia beetles,Popillia spp.,Perdue
Poplar borer,Saperda calcarata,Perdue
Potato psyllid,Bactericera cockerelli,Perdue
Potato rot nematode,Ditylenchus destructor,Perdue
Potato spindle Tuber,Potato Spindle Tuber Viroid,Perdue
Potato Tuberworm,Phthorimaea operculella,Perdue
Potato wart,Synchytrium endobioticum,Perdue
Prickly lettuce,Lactuca serriola,Perdue
Primitivus stubby-root nematode,Trichodorus primitivus,Perdue
Proximus stubby-root nematode,Trichodorus obtusus,Perdue
Pseudomonas bacterial wilt/ rot,Burkholderia caryophylli,Perdue
Purple loosestrife,Lythrum salicaria,Perdue
Purple willow,Salix purpurea,Perdue
Quagga mussel,Dreissena rostriformis bugensis,Perdue
Red (Purple) starthistle,Centaurea calcitrapa,Perdue
Red imported fire ant,Solenopsis invicta,Perdue
Red neck longhorn beetle,Aromia bungii,Perdue
Red palm mite,Raoiella indica,Perdue
Red palm weevil,Rhynchophorus ferrugineus,Perdue
Red pine shoot moths,Dioryctria spp.,Perdue
Red ring nematode,Bursaphelenchus cocophilus,Perdue
Red-belted clearwing,Synanthedon myopaeformis,Perdue
Redbay Ambrosia beetle,Xyleborus glabratus,Perdue
Redhaired pine bark beetle,Hylurgus ligniperda,Perdue
Reed canarygrass,Phalaris arundinacea,Perdue
Reniform nematode,Rotylenchulus reniformis,Perdue
Rice panicle mite,Steneotarsonemus spinki,Perdue
Rice stem nematode,Ditylenchus angustus,Perdue
Rice stinkbug,Tibraca limbativentris,Perdue
Rice thrips,Stenchaetothrips biformis,Perdue
Rice white-tip nematode,Aphelenchoides besseyi,Perdue
Ring nematode,Mesocriconema xenoplax,Perdue
Root rot,Gymnopus fusipes,Perdue
Root-knot nematode,Meloidogyne mayaguensis,Perdue
Root-knot nematode,Meloidogyne minor,Perdue
Root-knot nematodes,Meloidogyne spp.,Perdue
Rosy moth,Lymantria mathura,Perdue
Rotala,Rotala rotundifolia,Perdue
Rotbrenner,Pseudopezicula tracheiphila,Perdue
Rough sweetpotato weevil,Blosyrus asellus,Perdue
Roughstalk bluegrass,Poa trivialis,Perdue
Roundleaf chastetree,Vitex rotundifolia,Perdue
Rush skeletonweed,Chondrilla juncea,Perdue
Russian knapweed,Rhaponticum repens,Perdue
Russian olive,Elaeagnus angustifolia,Perdue
Russian wheat aphid,Diuraphis noxia,Perdue
Rustic borer,Xylotrechus colonus,Perdue
Sakhalin pine sawyer,Monochamus saltuarius,Perdue
Sakhalin silk moth,Dendrolimus superans,Perdue
Salt meadow cordgrass,Spartina patens,Perdue
Saltcedar,Tamarix ramosissima,Perdue
Satin moth,Leucoma salicis,Perdue
Scarlet oak sawfly,Caliroa quercuscoccineae,Perdue
Scolytid beetle,Xyleborus spp.,Perdue
Scolytid beetle,Ips subelongatus,Perdue
Scotch broom,Cytisus scoparius,Perdue
Scots pine blister rust,Cronartium flaccidum,Perdue
Seed-gall nematode,Anguina funesta,Perdue
Seed-gall nematodes,Anguina spp.,Perdue
Senegal tea plant,Gymnocoronis spilanthoides,Perdue
Siberian silk moth,Dendrolimus sibiricus,Perdue
Silver Y moth,Autographa gamma,Perdue
Sirex woodwasp,Sirex noctilio,Perdue
Sixspined Ips,Ips calligraphus,Perdue
Sixtoothed bark beetle,Ips sexdentatus,Perdue
Sixtoothed spruce bark beetle,Pityogenes chalcographus,Perdue
Slender-banded pinecone longhorn beetle,Chlorophorus strobilicola,Perdue
Slippery skin,Burkholderia gladioli,Perdue
Small broomrape; Hellroot,Orobanche minor,Perdue
Small brown planthopper,Laodelphax striatellus,Perdue
Small hive beetle,Aethina tumida,Perdue
Small pointed snail,Prietocella barbara,Perdue
Small white-marmorated longhorned beetle,Monochamus sutor,Perdue
Smooth cordgrass,Spartina alterniflora,Perdue
Soft wax scale,Ceroplastes destructor,Perdue
Sour skin,Burkholderia cepacia,Perdue
South American palm weevil,Rhynchophorus palmarum,Perdue
South American rice miner,Hydrellia wirthi,Perdue
Southern bacterial wilt,Ralstonia solanacearum race 1,Perdue
Southern mole cricket,Scapteriscus borellii,Perdue
Southern pine beetle,Dendroctonus frontalis,Perdue
Southern root-knot nematode,Meloidogyne incognita,Perdue
Soybean aphid,Aphis glycines,Perdue
Soybean brown stem rot,Cadophora gregata,Perdue
Soybean cyst nematode,Heterodera glycines,Perdue
Soybean dwarf (SbDV),Luteovirus Soybean Dwarf Virus,Perdue
Soybean pod borer,Maruca vitrata,Perdue
Soybean pod borer,Leguminivora glycinivorella,Perdue
Soybean stem borer,Dectes texanus,Perdue
Spanish slug,Arion vulgaris,Perdue
Spider mite,Tetranychus roseus,Perdue
Spider mite,Oligonychus palus,Perdue
Spot anthracnose,Elsinoe batatas,Perdue
Spotted ladysthumb,Polygonum persicaria,Perdue
Spotted lanternfly,Lycorma delicatula,Perdue
Spotted stem borer,Chilo partellus,Perdue
Spotted wing Drosophila,Drosophila suzukii,Perdue
Spring cankerworm,Paleacrita vernata,Perdue
Spring crimp (Foliar) nematode,Aphelenchoides fragariae,Perdue
Squash vine borer,Melittia cucurbitae,Perdue
St. johnswort borer,Agrilus hyperici,Perdue
Stalk borer,Papaipema nebris,Perdue
Steinhorst stubby-root nematode,Paratrichodorus pachydermus,Perdue
Stem and bulb nematode,Ditylenchus dipsaci,Perdue
Sticky chickweed,Cerastium glomeratum,Perdue
Striga,Striga hermonthica,Perdue
Stripe rust; Yellow rust,Puccinia striiformis var. striiformis,Perdue
Stubby-root nematode,Paratrichodorus anemones,Perdue
Stubby-root nematode,Trichodorus viruliferus,Perdue
Stubby-root nematode,Paratrichodorus nanus,Perdue
Stubby-root nematode,Paratrichodorus teres,Perdue
Stubby-root nematode,Paratrichodorus minor,Perdue
Stubby-root nematode,Paratrichodorus allius,Perdue
Stubby-root nematodes,Paratrichodorus spp.,Perdue
Stunt nematode,Tylenchorhynchus ewingii,Perdue
Sugar cane cyst nematode,Heterodera sacchari,Perdue
Summer fruit Tortrix moth,Adoxophyes orana,Perdue
Sunn pest,Eurygaster integriceps,Perdue
Swamp morningglory,Ipomoea aquatica,Perdue
Swede midge,Contarinia nasturtii,Perdue
Sweet orange scab,Elsinoe australis,Perdue
Sweetpotato whitefly,Bemisia tabaci,Perdue
Switchgrass; Panic grass,Panicum virgatum,Perdue
Swollen bladderwort,Utricularia inflata,Perdue
Tall buttercup,Ranunculus acris,Perdue
Tamarisk,Tamarix spp.,Perdue
Tansy ragwort,Senecio jacobaea,Perdue
Taro bacilliform (TaBV),Badnavirus Taro Bacilliform Badnavirus,Perdue
Tawny crazy ant,Nylanderia fulva,Perdue
Tetranychid mite,Tetranychus kanzawai,Perdue
Texas Phoenix palm decline,Candidatus Phytoplasma 16SrIV-D,Perdue
Thousand cankers disease,Geosmithia morbida,Perdue
Tomato black ring (TBRV),Nepovirus Tomato Black Ring Virus,Perdue
Tomato fruit borer,Neoleucinodes elegantalis,Perdue
Tomato leaf miner,Tuta absoluta,Perdue
Tomato torrado (ToTV),Torradovirus Tomato Torrado Virus,Perdue
Tomato yellow leaf curl (TYLCV),Begomovirus Tomato Yellow Leaf Curl Virus,Perdue
Tremex woodwasp,Tremex fuscicornis,Perdue
Triticum mosaic,Triticum Mosaic Virus; WASMV,Perdue
Tropical soda apple,Solanum viarum,Perdue
Tropical spiderwort; Benghal dayflower,Commelina benghalensis,Perdue
Tufted apple bud moth,Platynota idaeusalis,Perdue
Twobanded Japanese weevil,Pseudocneorhinus bifasciatus,Perdue
Twospotted citrus psyllid,Trioza erytreae,Perdue
Variable watermilfoil,Myriophyllum heterophyllum,Perdue
Variegated golden Tortrix,Archips xylosteanus,Perdue
Varroa mite,Varroa destructor,Perdue
Velvet longhorned beetle,Trichoferus campestris,Perdue
Veronicellid slug,Veronicella floridana,Perdue
Verticillium wilt,Verticillium spp.,Perdue
Viburnum leaf beetle,Pyrrhalta viburni,Perdue
Vine mealybug,Planococcus ficus,Perdue
Walnut twig beetle,Pityophthorus juglandis,Perdue
Wand loosestrife,Lythrum virgatum,Perdue
Water hyacinth,Eichhornia crassipes,Perdue
Water soldiers,Stratiotes aloides,Perdue
Water spangles; Water fern,Salvinia minima,Perdue
Water-chestnut,Trapa natans,Perdue
Waterlettuce,Pistia stratiotes,Perdue
Weeping alkaligrass,Puccinellia distans,Perdue
West African land snail; (Banana rasp),Archachatina marginata,Perdue
West indian cane weevil,Metamasius hemipterus,Perdue
Western bean cutworm,Striacosta albicosta,Perdue
Western corn rootworm,Diabrotica virgifera,Perdue
Wetland nightshade,Solanum tampicense,Perdue
Wheat bug,Nysius huttoni,Perdue
Wheat leaf rust,Puccinia triticina f.sp. tritici,Perdue
Wheat powdery mildew,Blumeria graminis f.sp. tritici,Perdue
Wheat seed gall nematode,Anguina tritici,Perdue
Wheat stem rust ug 99,Puccinia graminis tritici UG 99,Perdue
Wheat streak mosaic (WSMV),Tritimovirus Wheat Streak Mosaic Virus,Perdue
White clover weevil,Ischnopterapion virens,Perdue
